genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	tigs_xz_bytes	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	5	runs	10	12	11	1	1	na	na	na	68	68	136	68	60176000	3.02	1.02	0.04	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_runs
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	5	zeros	10	12	10	2	2	na	na	na	68	72	140	68	60176000	3.02	1.02	0.04	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	1	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.28	1.05	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_default
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	1	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.28	1.05	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_ones
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	1	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.28	1.05	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_runs
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	1	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.28	1.05	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	2	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.06	1.12	0.07	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_default
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	2	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.06	1.12	0.07	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_ones
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	2	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.06	1.12	0.07	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_runs
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	2	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.06	1.12	0.07	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	3	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.21	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_default
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	3	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.21	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_ones
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	3	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.21	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_runs
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	3	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	3.21	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	4	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.72	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_default
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	4	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.72	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_ones
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	4	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.72	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_runs
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	4	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.72	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	5	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.9	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_default
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	5	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.9	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_ones
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	5	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.9	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_runs
sars-cov-2-pangenome	2	pseudosimplitigsAC	loc-greedy	AC	5	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	2.9	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_zeros
sars-cov-2-pangenome	2	streaming	streaming	na	na	default	10	14	10	4	4	na	na	na	72	72	144	72	3324000	3.75	1.45	0.03	sars-cov-2-pangenome.S_streaming.k_2.d_na	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_default
sars-cov-2-pangenome	2	streaming	streaming	na	na	ones	10	14	13	1	1	na	na	na	72	68	140	72	3324000	3.75	1.45	0.03	sars-cov-2-pangenome.S_streaming.k_2.d_na	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_ones
sars-cov-2-pangenome	2	streaming	streaming	na	na	runs	10	14	13	1	1	na	na	na	72	68	140	72	3324000	3.75	1.45	0.03	sars-cov-2-pangenome.S_streaming.k_2.d_na	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_runs
sars-cov-2-pangenome	2	streaming	streaming	na	na	zeros	10	14	10	4	4	na	na	na	72	68	140	72	3324000	3.75	1.45	0.03	sars-cov-2-pangenome.S_streaming.k_2.d_na	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_zeros
sars-cov-2-pangenome	3	greedy	glob-greedy	HT	na	default	32	34	32	2	1	na	na	na	92	72	164	92	3332000	1.7	0.58	0.03	sars-cov-2-pangenome.S_greedy.k_3.d_na	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_default
sars-cov-2-pangenome	3	greedy	glob-greedy	HT	na	ones	32	34	32	2	1	na	na	na	92	72	164	92	3332000	1.7	0.58	0.03	sars-cov-2-pangenome.S_greedy.k_3.d_na	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_ones
sars-cov-2-pangenome	3	greedy	glob-greedy	HT	na	runs	32	34	32	2	1	na	na	na	92	72	164	92	3332000	1.7	0.58	0.03	sars-cov-2-pangenome.S_greedy.k_3.d_na	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_runs
sars-cov-2-pangenome	3	greedy	glob-greedy	HT	na	zeros	32	34	32	2	1	na	na	na	92	72	164	92	3332000	1.7	0.58	0.03	sars-cov-2-pangenome.S_greedy.k_3.d_na	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_zeros
sars-cov-2-pangenome	3	greedyAC	glob-greedy	AC	na	default	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.01	0.08	sars-cov-2-pangenome.S_greedyAC.k_3.d_na	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_default
sars-cov-2-pangenome	3	greedyAC	glob-greedy	AC	na	ones	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.01	0.08	sars-cov-2-pangenome.S_greedyAC.k_3.d_na	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_ones
sars-cov-2-pangenome	3	greedyAC	glob-greedy	AC	na	runs	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.01	0.08	sars-cov-2-pangenome.S_greedyAC.k_3.d_na	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_runs
sars-cov-2-pangenome	3	greedyAC	glob-greedy	AC	na	zeros	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.01	0.08	sars-cov-2-pangenome.S_greedyAC.k_3.d_na	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	1	default	32	36	32	4	2	na	na	na	92	72	164	96	60176000	3.11	0.98	0.07	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_default
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	1	ones	32	36	34	2	1	na	na	na	92	72	164	96	60176000	3.11	0.98	0.07	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_ones
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	1	runs	32	36	34	2	1	na	na	na	92	72	164	96	60176000	3.11	0.98	0.07	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_runs
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	1	zeros	32	36	32	4	3	na	na	na	92	72	164	96	60176000	3.11	0.98	0.07	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	2	default	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.28	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_default
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	2	ones	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.28	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_ones
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	2	runs	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.28	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_runs
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	2	zeros	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.28	0.98	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	3	default	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.1	1.02	0.02	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_default
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	3	ones	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.1	1.02	0.02	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_ones
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	3	runs	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.1	1.02	0.02	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_runs
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	3	zeros	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.1	1.02	0.02	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	4	default	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.64	1.04	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_default
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	4	ones	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.64	1.04	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_ones
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	4	runs	32	35	33	2	1	na	na	na	92	72	164	96	60176000	2.64	1.04	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_runs
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	4	zeros	32	35	32	3	2	na	na	na	92	72	164	92	60176000	2.64	1.04	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	5	default	32	35	32	3	2	na	na	na	92	72	164	92	60176000	3.08	1.01	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_default
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	5	ones	32	35	33	2	1	na	na	na	92	72	164	96	60176000	3.08	1.01	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_ones
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	5	runs	32	35	33	2	1	na	na	na	92	72	164	96	60176000	3.08	1.01	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_runs
sars-cov-2-pangenome	3	pseudosimplitigs	loc-greedy	HT	5	zeros	32	35	32	3	2	na	na	na	92	72	164	92	60176000	3.08	1.01	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	1	default	32	34	32	2	1	na	na	na	92	72	164	92	60176000	3.14	0.99	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_default
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	1	ones	32	34	32	2	1	na	na	na	92	72	164	92	60176000	3.14	0.99	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_ones
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	1	runs	32	34	32	2	1	na	na	na	92	72	164	92	60176000	3.14	0.99	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_runs
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	1	zeros	32	34	32	2	1	na	na	na	92	72	164	92	60176000	3.14	0.99	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	2	default	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.02	0.05	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_default
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	2	ones	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.02	0.05	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_ones
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	2	runs	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.02	0.05	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_runs
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	2	zeros	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.88	1.02	0.05	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_zeros
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	3	default	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.51	1	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_default
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	3	ones	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.51	1	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_ones
sars-cov-2-pangenome	3	pseudosimplitigsAC	loc-greedy	AC	3	runs	32	34	32	2	1	na	na	na	92	72	164	92	60176000	1.51	1	0.04	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_runs
