genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
sars-cov-2-pangenome	pseudosimplitigs	2	2	zeros	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	2	3	default	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigs	2	3	ones	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigs	2	3	runs	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigs	2	3	zeros	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	2	4	default	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigs	2	4	ones	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigs	2	4	runs	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigs	2	4	zeros	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	2	5	default	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigs	2	5	ones	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigs	2	5	runs	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigs	2	5	zeros	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	2	1	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	2	1	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	2	1	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	2	1	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	2	2	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	2	2	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	2	2	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	2	2	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	2	3	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	2	3	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	2	3	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	2	3	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	2	4	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	2	4	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	2	4	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	2	4	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	2	5	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	2	5	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	2	5	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	2	5	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_zeros
sars-cov-2-pangenome	streaming	2	na	default	10	14	10	4	4	72	72	144	72	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_default
sars-cov-2-pangenome	streaming	2	na	ones	10	14	13	1	1	72	68	140	72	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_ones
sars-cov-2-pangenome	streaming	2	na	runs	10	14	13	1	1	72	68	140	72	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_runs
sars-cov-2-pangenome	streaming	2	na	zeros	10	14	10	4	4	72	68	140	72	sars-cov-2-pangenome.S_streaming.k_2.d_na.M_zeros
sars-cov-2-pangenome	greedy	3	na	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_default
sars-cov-2-pangenome	greedy	3	na	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_ones
sars-cov-2-pangenome	greedy	3	na	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_runs
sars-cov-2-pangenome	greedy	3	na	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedy.k_3.d_na.M_zeros
sars-cov-2-pangenome	greedyAC	3	na	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_default
sars-cov-2-pangenome	greedyAC	3	na	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_ones
sars-cov-2-pangenome	greedyAC	3	na	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_runs
sars-cov-2-pangenome	greedyAC	3	na	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	3	1	default	32	36	32	4	2	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigs	3	1	ones	32	36	34	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigs	3	1	runs	32	36	34	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigs	3	1	zeros	32	36	32	4	3	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	3	2	default	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigs	3	2	ones	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigs	3	2	runs	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_runs
sars-cov-2-pangenome	pseudosimplitigs	3	2	zeros	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	3	3	default	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigs	3	3	ones	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigs	3	3	runs	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigs	3	3	zeros	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	3	4	default	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigs	3	4	ones	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigs	3	4	runs	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigs	3	4	zeros	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	3	5	default	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigs	3	5	ones	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigs	3	5	runs	32	35	33	2	1	92	72	164	96	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigs	3	5	zeros	32	35	32	3	2	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	3	1	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	3	1	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	3	1	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	3	1	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	3	2	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	3	2	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	3	2	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	3	2	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	3	3	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	3	3	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	3	3	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	3	3	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	3	4	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	3	4	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	3	4	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	3	4	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	3	5	default	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	3	5	ones	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	3	5	runs	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	3	5	zeros	32	34	32	2	1	92	72	164	92	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_zeros
sars-cov-2-pangenome	streaming	3	na	default	32	64	32	32	19	112	84	196	124	sars-cov-2-pangenome.S_streaming.k_3.d_na.M_default
sars-cov-2-pangenome	streaming	3	na	ones	32	64	62	2	1	112	72	184	112	sars-cov-2-pangenome.S_streaming.k_3.d_na.M_ones
sars-cov-2-pangenome	streaming	3	na	runs	32	64	62	2	1	112	72	184	112	sars-cov-2-pangenome.S_streaming.k_3.d_na.M_runs
sars-cov-2-pangenome	streaming	3	na	zeros	32	64	32	32	15	112	88	200	124	sars-cov-2-pangenome.S_streaming.k_3.d_na.M_zeros
sars-cov-2-pangenome	greedy	4	na	default	136	146	136	10	7	152	88	240	164	sars-cov-2-pangenome.S_greedy.k_4.d_na.M_default
sars-cov-2-pangenome	greedy	4	na	ones	136	146	143	3	1	152	76	228	156	sars-cov-2-pangenome.S_greedy.k_4.d_na.M_ones
sars-cov-2-pangenome	greedy	4	na	runs	136	146	143	3	1	152	76	228	156	sars-cov-2-pangenome.S_greedy.k_4.d_na.M_runs
sars-cov-2-pangenome	greedy	4	na	zeros	136	146	136	10	8	152	84	236	164	sars-cov-2-pangenome.S_greedy.k_4.d_na.M_zeros
sars-cov-2-pangenome	greedyAC	4	na	default	136	147	136	11	9	160	88	248	168	sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_default
sars-cov-2-pangenome	greedyAC	4	na	ones	136	147	144	3	1	160	76	236	160	sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_ones
sars-cov-2-pangenome	greedyAC	4	na	runs	136	147	144	3	1	160	76	236	160	sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_runs
sars-cov-2-pangenome	greedyAC	4	na	zeros	136	147	136	11	7	160	88	248	168	sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	4	1	default	136	160	136	24	8	152	84	236	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigs	4	1	ones	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigs	4	1	runs	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigs	4	1	zeros	136	160	136	24	9	152	88	240	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	4	2	default	136	162	136	26	12	152	88	240	168	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigs	4	2	ones	136	162	159	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigs	4	2	runs	136	162	159	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_runs
sars-cov-2-pangenome	pseudosimplitigs	4	2	zeros	136	162	136	26	13	152	92	244	168	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	4	3	default	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigs	4	3	ones	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigs	4	3	runs	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigs	4	3	zeros	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	4	4	default	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigs	4	4	ones	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigs	4	4	runs	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigs	4	4	zeros	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	4	5	default	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigs	4	5	ones	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigs	4	5	runs	136	160	157	3	1	152	76	228	152	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigs	4	5	zeros	136	160	136	24	15	152	92	244	164	sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	4	1	default	136	157	136	21	7	160	84	244	172	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	4	1	ones	136	157	154	3	1	160	76	236	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	4	1	runs	136	157	154	3	1	160	76	236	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	4	1	zeros	136	157	136	21	8	160	88	248	172	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	4	2	default	136	156	136	20	12	164	84	248	172	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	4	2	ones	136	156	153	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	4	2	runs	136	156	153	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	4	2	zeros	136	156	136	20	12	164	84	248	172	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	4	3	default	136	157	136	21	14	164	88	252	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	4	3	ones	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	4	3	runs	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	4	3	zeros	136	157	136	21	16	164	92	256	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	4	4	default	136	157	136	21	14	164	88	252	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	4	4	ones	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	4	4	runs	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	4	4	zeros	136	157	136	21	16	164	92	256	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_zeros
sars-cov-2-pangenome	pseudosimplitigsAC	4	5	default	136	157	136	21	14	164	88	252	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_5.M_default
sars-cov-2-pangenome	pseudosimplitigsAC	4	5	ones	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_5.M_ones
sars-cov-2-pangenome	pseudosimplitigsAC	4	5	runs	136	157	154	3	1	164	76	240	164	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_5.M_runs
sars-cov-2-pangenome	pseudosimplitigsAC	4	5	zeros	136	157	136	21	16	164	92	256	176	sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_5.M_zeros
sars-cov-2-pangenome	streaming	4	na	default	136	299	136	163	66	220	112	332	276	sars-cov-2-pangenome.S_streaming.k_4.d_na.M_default
sars-cov-2-pangenome	streaming	4	na	ones	136	299	296	3	1	220	76	296	220	sars-cov-2-pangenome.S_streaming.k_4.d_na.M_ones
sars-cov-2-pangenome	streaming	4	na	runs	136	299	296	3	1	220	76	296	220	sars-cov-2-pangenome.S_streaming.k_4.d_na.M_runs
sars-cov-2-pangenome	streaming	4	na	zeros	136	299	136	163	58	220	132	352	280	sars-cov-2-pangenome.S_streaming.k_4.d_na.M_zeros
sars-cov-2-pangenome	greedy	5	na	default	512	526	512	14	5	308	88	396	324	sars-cov-2-pangenome.S_greedy.k_5.d_na.M_default
sars-cov-2-pangenome	greedy	5	na	ones	512	526	522	4	1	308	76	384	312	sars-cov-2-pangenome.S_greedy.k_5.d_na.M_ones
sars-cov-2-pangenome	greedy	5	na	runs	512	526	522	4	1	308	76	384	312	sars-cov-2-pangenome.S_greedy.k_5.d_na.M_runs
sars-cov-2-pangenome	greedy	5	na	zeros	512	526	512	14	9	308	92	400	324	sars-cov-2-pangenome.S_greedy.k_5.d_na.M_zeros
sars-cov-2-pangenome	greedyAC	5	na	default	512	518	512	6	2	308	80	388	312	sars-cov-2-pangenome.S_greedyAC.k_5.d_na.M_default
sars-cov-2-pangenome	greedyAC	5	na	ones	512	518	514	4	1	308	76	384	312	sars-cov-2-pangenome.S_greedyAC.k_5.d_na.M_ones
sars-cov-2-pangenome	greedyAC	5	na	runs	512	518	514	4	1	308	76	384	312	sars-cov-2-pangenome.S_greedyAC.k_5.d_na.M_runs
