pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae	pseudosimplitigs	6	2	0.13	0.00	0.07	57%	9792	0	0	0.206839
spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae	pseudosimplitigs	6	3	0.14	0.00	0.08	58%	10000	0	0	0.20723
spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae	pseudosimplitigs	6	4	0.14	0.00	0.07	51%	10032	0	0	0.187608
spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae	pseudosimplitigs	6	5	0.12	0.00	0.07	62%	9920	0	0	0.157031
spneumoniae.S_streaming.k_6.d_na	spneumoniae	streaming	6	na	0.24	0.00	0.20	82%	6928	0	0	0.327627
spneumoniae.S_greedy.k_7.d_na	spneumoniae	greedy	7	na	0.83	0.00	0.07	9%	11984	0	0	1.116322
spneumoniae.S_pseudosimplitigs.k_7.d_1	spneumoniae	pseudosimplitigs	7	1	0.15	0.00	0.08	60%	11904	0	0	0.216
spneumoniae.S_pseudosimplitigs.k_7.d_2	spneumoniae	pseudosimplitigs	7	2	0.15	0.00	0.08	57%	11904	0	0	0.219784
spneumoniae.S_pseudosimplitigs.k_7.d_3	spneumoniae	pseudosimplitigs	7	3	0.14	0.00	0.09	69%	12096	0	0	0.20805
spneumoniae.S_pseudosimplitigs.k_7.d_4	spneumoniae	pseudosimplitigs	7	4	0.15	0.00	0.09	60%	12448	0	0	0.234522
spneumoniae.S_pseudosimplitigs.k_7.d_5	spneumoniae	pseudosimplitigs	7	5	0.16	0.00	0.08	56%	12272	0	0	0.202121
spneumoniae.S_streaming.k_7.d_na	spneumoniae	streaming	7	na	1.00	0.00	0.25	25%	7344	0	0	1.131487
spneumoniae.S_greedy.k_8.d_na	spneumoniae	greedy	8	na	0.17	0.00	0.08	53%	17056	0	0	0.24041
spneumoniae.S_pseudosimplitigs.k_8.d_1	spneumoniae	pseudosimplitigs	8	1	0.20	0.00	0.13	70%	20624	0	0	0.27251
spneumoniae.S_pseudosimplitigs.k_8.d_2	spneumoniae	pseudosimplitigs	8	2	0.17	0.00	0.13	77%	21328	0	0	0.220001
spneumoniae.S_pseudosimplitigs.k_8.d_3	spneumoniae	pseudosimplitigs	8	3	0.21	0.00	0.13	65%	20576	0	0	0.304507
spneumoniae.S_pseudosimplitigs.k_8.d_4	spneumoniae	pseudosimplitigs	8	4	0.23	0.00	0.15	68%	21216	0	0	0.278335
spneumoniae.S_pseudosimplitigs.k_8.d_5	spneumoniae	pseudosimplitigs	8	5	0.21	0.00	0.16	80%	21664	0	0	0.323351
spneumoniae.S_streaming.k_8.d_na	spneumoniae	streaming	8	na	0.33	0.00	0.27	82%	8896	0	0	0.381264
spneumoniae.S_greedy.k_9.d_na	spneumoniae	greedy	9	na	0.25	0.01	0.20	86%	50224	0	0	0.287512
spneumoniae.S_pseudosimplitigs.k_9.d_1	spneumoniae	pseudosimplitigs	9	1	0.56	0.01	0.45	81%	52192	0	0	0.612195
spneumoniae.S_pseudosimplitigs.k_9.d_2	spneumoniae	pseudosimplitigs	9	2	0.49	0.01	0.40	84%	58704	0	0	0.558813
spneumoniae.S_pseudosimplitigs.k_9.d_3	spneumoniae	pseudosimplitigs	9	3	0.92	0.01	0.82	91%	55920	0	0	0.969824
spneumoniae.S_pseudosimplitigs.k_9.d_4	spneumoniae	pseudosimplitigs	9	4	0.88	0.01	0.77	88%	59792	0	0	0.951832
spneumoniae.S_pseudosimplitigs.k_9.d_5	spneumoniae	pseudosimplitigs	9	5	0.88	0.01	0.79	91%	58656	0	0	0.915447
spneumoniae.S_streaming.k_9.d_na	spneumoniae	streaming	9	na	0.48	0.00	0.42	89%	14144	0	0	0.548959
spneumoniae.S_greedy.k_10.d_na	spneumoniae	greedy	10	na	1.14	0.03	0.75	69%	159152	0	0	1.238407
spneumoniae.S_pseudosimplitigs.k_10.d_1	spneumoniae	pseudosimplitigs	10	1	3.50	0.04	1.34	39%	168032	0	0	4.690795
spneumoniae.S_pseudosimplitigs.k_10.d_2	spneumoniae	pseudosimplitigs	10	2	1.59	0.03	1.18	76%	168912	0	0	1.662685
spneumoniae.S_pseudosimplitigs.k_10.d_3	spneumoniae	pseudosimplitigs	10	3	1.54	0.03	1.19	79%	163616	0	0	1.627108
spneumoniae.S_pseudosimplitigs.k_10.d_4	spneumoniae	pseudosimplitigs	10	4	1.49	0.03	1.14	78%	163936	0	0	1.579846
spneumoniae.S_pseudosimplitigs.k_10.d_5	spneumoniae	pseudosimplitigs	10	5	1.63	0.03	1.25	79%	169440	0	0	1.698474
spneumoniae.S_streaming.k_10.d_na	spneumoniae	streaming	10	na	1.48	0.01	0.97	66%	32032	0	0	1.575932
spneumoniae.S_greedy.k_11.d_na	spneumoniae	greedy	11	na	2.46	0.06	1.86	78%	358480	0	0	2.5129
spneumoniae.S_pseudosimplitigs.k_11.d_1	spneumoniae	pseudosimplitigs	11	1	3.72	0.06	2.75	75%	331152	0	0	3.794452
spneumoniae.S_pseudosimplitigs.k_11.d_2	spneumoniae	pseudosimplitigs	11	2	3.81	0.07	2.90	78%	329392	0	0	3.893387
spneumoniae.S_pseudosimplitigs.k_11.d_3	spneumoniae	pseudosimplitigs	11	3	3.60	0.06	2.74	77%	332448	0	0	3.693593
spneumoniae.S_pseudosimplitigs.k_11.d_4	spneumoniae	pseudosimplitigs	11	4	5.62	0.36	3.41	67%	186624	0	0	6.207714
spneumoniae.S_pseudosimplitigs.k_11.d_5	spneumoniae	pseudosimplitigs	11	5	6.46	0.07	5.48	86%	343792	0	0	6.524763
spneumoniae.S_streaming.k_11.d_na	spneumoniae	streaming	11	na	1.26	0.01	1.16	93%	64336	0	0	1.295143
spneumoniae.S_greedy.k_12.d_na	spneumoniae	greedy	12	na	4.16	0.10	3.12	77%	600544	0	0	4.22074
spneumoniae.S_pseudosimplitigs.k_12.d_1	spneumoniae	pseudosimplitigs	12	1	5.52	0.09	4.08	75%	455776	0	0	5.582445
spneumoniae.S_pseudosimplitigs.k_12.d_2	spneumoniae	pseudosimplitigs	12	2	5.57	0.08	4.22	77%	443040	0	0	5.631995
spneumoniae.S_pseudosimplitigs.k_12.d_3	spneumoniae	pseudosimplitigs	12	3	5.74	0.08	4.42	78%	441888	0	0	5.778944
spneumoniae.S_pseudosimplitigs.k_12.d_4	spneumoniae	pseudosimplitigs	12	4	8.51	0.10	7.03	83%	455888	0	0	8.554969
spneumoniae.S_pseudosimplitigs.k_12.d_5	spneumoniae	pseudosimplitigs	12	5	10.49	0.10	9.03	87%	456672	0	0	10.541238
spneumoniae.S_streaming.k_12.d_na	spneumoniae	streaming	12	na	1.41	0.01	1.29	92%	82432	0	0	1.456763
spneumoniae.S_greedy.k_13.d_na	spneumoniae	greedy	13	na	5.63	0.15	4.26	78%	715232	0	0	5.665721
spneumoniae.S_pseudosimplitigs.k_13.d_1	spneumoniae	pseudosimplitigs	13	1	7.03	0.13	5.43	79%	567568	0	0	7.105451
spneumoniae.S_pseudosimplitigs.k_13.d_2	spneumoniae	pseudosimplitigs	13	2	6.95	0.11	5.38	78%	569008	0	0	7.035303
spneumoniae.S_pseudosimplitigs.k_13.d_3	spneumoniae	pseudosimplitigs	13	3	8.16	0.13	6.50	81%	568128	0	0	8.248172
spneumoniae.S_pseudosimplitigs.k_13.d_4	spneumoniae	pseudosimplitigs	13	4	11.54	0.11	9.82	86%	576400	0	0	11.578178
spneumoniae.S_pseudosimplitigs.k_13.d_5	spneumoniae	pseudosimplitigs	13	5	16.15	0.16	14.22	89%	587824	0	0	16.210423
spneumoniae.S_streaming.k_13.d_na	spneumoniae	streaming	13	na	1.65	0.02	1.51	93%	118560	0	0	1.705919
spneumoniae.S_greedy.k_14.d_na	spneumoniae	greedy	14	na	6.50	0.17	4.69	74%	808256	0	0	6.544881
spneumoniae.S_pseudosimplitigs.k_14.d_1	spneumoniae	pseudosimplitigs	14	1	7.57	0.17	5.77	78%	490704	0	0	7.656527
spneumoniae.S_pseudosimplitigs.k_14.d_2	spneumoniae	pseudosimplitigs	14	2	7.57	0.13	5.89	79%	596912	0	0	7.650276
spneumoniae.S_pseudosimplitigs.k_14.d_3	spneumoniae	pseudosimplitigs	14	3	7.53	0.12	5.72	77%	590528	0	0	7.597507
spneumoniae.S_pseudosimplitigs.k_14.d_4	spneumoniae	pseudosimplitigs	14	4	9.13	0.11	7.43	82%	591232	0	0	9.200096
spneumoniae.S_pseudosimplitigs.k_14.d_5	spneumoniae	pseudosimplitigs	14	5	11.99	0.14	10.11	85%	597184	0	0	12.034271
spneumoniae.S_streaming.k_14.d_na	spneumoniae	streaming	14	na	1.75	0.02	1.52	88%	121264	0	0	1.799062
spneumoniae.S_greedy.k_15.d_na	spneumoniae	greedy	15	na	5.68	0.15	4.05	74%	918880	0	0	5.730645
spneumoniae.S_pseudosimplitigs.k_15.d_1	spneumoniae	pseudosimplitigs	15	1	6.71	0.12	5.15	78%	654160	0	0	6.751164
spneumoniae.S_pseudosimplitigs.k_15.d_2	spneumoniae	pseudosimplitigs	15	2	8.01	0.16	5.97	76%	659904	0	0	8.052475
spneumoniae.S_pseudosimplitigs.k_15.d_3	spneumoniae	pseudosimplitigs	15	3	7.26	0.12	5.62	79%	641504	0	0	7.296014
spneumoniae.S_pseudosimplitigs.k_15.d_4	spneumoniae	pseudosimplitigs	15	4	9.15	0.12	7.51	83%	656640	0	0	9.202852
spneumoniae.S_pseudosimplitigs.k_15.d_5	spneumoniae	pseudosimplitigs	15	5	9.98	0.14	8.31	84%	634768	0	0	10.035109
spneumoniae.S_streaming.k_15.d_na	spneumoniae	streaming	15	na	1.68	0.02	1.25	75%	124064	0	0	1.735218
spneumoniae.S_greedy.k_16.d_na	spneumoniae	greedy	16	na	6.06	0.17	4.40	75%	918464	0	0	6.130198
spneumoniae.S_pseudosimplitigs.k_16.d_1	spneumoniae	pseudosimplitigs	16	1	7.08	0.12	5.46	78%	650736	0	0	7.131537
spneumoniae.S_pseudosimplitigs.k_16.d_2	spneumoniae	pseudosimplitigs	16	2	6.99	0.12	5.34	78%	642560	0	0	7.03369
spneumoniae.S_pseudosimplitigs.k_16.d_3	spneumoniae	pseudosimplitigs	16	3	7.12	0.13	5.49	79%	641008	0	0	7.187949
spneumoniae.S_pseudosimplitigs.k_16.d_4	spneumoniae	pseudosimplitigs	16	4	7.31	0.12	5.69	79%	647568	0	0	7.360452
spneumoniae.S_pseudosimplitigs.k_16.d_5	spneumoniae	pseudosimplitigs	16	5	7.88	0.09	6.28	80%	649040	0	0	7.931645
spneumoniae.S_streaming.k_16.d_na	spneumoniae	streaming	16	na	2.25	0.04	1.67	75%	108448	0	0	2.354337
spneumoniae.S_greedy.k_17.d_na	spneumoniae	greedy	17	na	5.96	0.17	4.28	74%	925664	0	0	6.015033
spneumoniae.S_pseudosimplitigs.k_17.d_1	spneumoniae	pseudosimplitigs	17	1	7.24	0.12	5.58	78%	652448	0	0	7.29251
spneumoniae.S_pseudosimplitigs.k_17.d_2	spneumoniae	pseudosimplitigs	17	2	7.28	0.13	5.66	79%	658176	0	0	7.308135
spneumoniae.S_pseudosimplitigs.k_17.d_3	spneumoniae	pseudosimplitigs	17	3	7.42	0.13	5.77	79%	646960	0	0	7.467521
spneumoniae.S_pseudosimplitigs.k_17.d_4	spneumoniae	pseudosimplitigs	17	4	7.42	0.12	5.79	79%	651472	0	0	7.482469
spneumoniae.S_pseudosimplitigs.k_17.d_5	spneumoniae	pseudosimplitigs	17	5	7.49	0.13	5.83	79%	647280	0	0	7.515832
spneumoniae.S_streaming.k_17.d_na	spneumoniae	streaming	17	na	1.74	0.02	1.36	79%	124656	0	0	1.805236
spneumoniae.S_greedy.k_18.d_na	spneumoniae	greedy	18	na	7.18	0.34	4.85	72%	708624	0	0	7.299584
spneumoniae.S_pseudosimplitigs.k_18.d_1	spneumoniae	pseudosimplitigs	18	1	7.14	0.12	5.47	78%	659360	0	0	7.187955
spneumoniae.S_pseudosimplitigs.k_18.d_2	spneumoniae	pseudosimplitigs	18	2	7.17	0.12	5.49	78%	655920	0	0	7.195767
spneumoniae.S_pseudosimplitigs.k_18.d_3	spneumoniae	pseudosimplitigs	18	3	7.55	0.14	5.87	79%	643952	0	0	7.603856
spneumoniae.S_pseudosimplitigs.k_18.d_4	spneumoniae	pseudosimplitigs	18	4	7.35	0.13	5.66	78%	659904	0	0	7.377127
spneumoniae.S_pseudosimplitigs.k_18.d_5	spneumoniae	pseudosimplitigs	18	5	7.84	0.12	6.21	80%	663504	0	0	7.872694
spneumoniae.S_streaming.k_18.d_na	spneumoniae	streaming	18	na	1.93	0.02	1.60	84%	124144	0	0	1.99017
spneumoniae.S_greedy.k_19.d_na	spneumoniae	greedy	19	na	6.56	0.18	4.57	72%	944880	0	0	6.60775
spneumoniae.S_pseudosimplitigs.k_19.d_1	spneumoniae	pseudosimplitigs	19	1	7.36	0.11	5.70	79%	660048	0	0	7.418601
spneumoniae.S_pseudosimplitigs.k_19.d_2	spneumoniae	pseudosimplitigs	19	2	7.34	0.10	5.68	78%	642160	0	0	7.370545
spneumoniae.S_pseudosimplitigs.k_19.d_3	spneumoniae	pseudosimplitigs	19	3	8.68	0.18	6.47	76%	501104	0	0	8.791473
spneumoniae.S_pseudosimplitigs.k_19.d_4	spneumoniae	pseudosimplitigs	19	4	7.46	0.13	5.77	79%	659072	0	0	7.531735
spneumoniae.S_pseudosimplitigs.k_19.d_5	spneumoniae	pseudosimplitigs	19	5	7.40	0.14	5.72	79%	642256	0	0	7.464175
spneumoniae.S_streaming.k_19.d_na	spneumoniae	streaming	19	na	1.79	0.02	1.42	80%	124944	0	0	1.8547
spneumoniae.S_greedy.k_20.d_na	spneumoniae	greedy	20	na	6.06	0.20	4.33	74%	920960	0	0	6.091054
spneumoniae.S_pseudosimplitigs.k_20.d_1	spneumoniae	pseudosimplitigs	20	1	7.53	0.12	5.84	79%	648832	0	0	7.559774
spneumoniae.S_pseudosimplitigs.k_20.d_2	spneumoniae	pseudosimplitigs	20	2	7.67	0.14	5.99	79%	646224	0	0	7.732489
spneumoniae.S_pseudosimplitigs.k_20.d_3	spneumoniae	pseudosimplitigs	20	3	7.68	0.13	5.96	79%	662288	0	0	7.718881
spneumoniae.S_pseudosimplitigs.k_20.d_4	spneumoniae	pseudosimplitigs	20	4	7.78	0.15	6.04	79%	496848	0	0	7.825079
spneumoniae.S_pseudosimplitigs.k_20.d_5	spneumoniae	pseudosimplitigs	20	5	7.65	0.12	5.99	79%	644112	0	0	7.70736
spneumoniae.S_streaming.k_20.d_na	spneumoniae	streaming	20	na	1.72	0.02	1.29	76%	124960	0	0	1.753444
spneumoniae-pangenome.S_greedy.k_2.d_na	spneumoniae-pangenome	greedy	2	na	0.31	0.00	0.27	89%	1776	0	0	0.355217
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_1	spneumoniae-pangenome	pseudosimplitigs	2	1	0.53	0.01	0.37	73%	38752	0	0	0.550747
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_2	spneumoniae-pangenome	pseudosimplitigs	2	2	0.55	0.02	0.40	77%	38672	0	0	0.587184
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_3	spneumoniae-pangenome	pseudosimplitigs	2	3	0.53	0.01	0.37	73%	38656	0	0	0.549726
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_4	spneumoniae-pangenome	pseudosimplitigs	2	4	0.56	0.01	0.41	76%	38448	0	0	0.60995
spneumoniae-pangenome.S_pseudosimplitigs.k_2.d_5	spneumoniae-pangenome	pseudosimplitigs	2	5	0.53	0.01	0.37	72%	38832	0	0	0.559731
spneumoniae-pangenome.S_streaming.k_2.d_na	spneumoniae-pangenome	streaming	2	na	0.53	0.00	0.50	96%	1376	0	0	0.604968
spneumoniae-pangenome.S_greedy.k_3.d_na	spneumoniae-pangenome	greedy	3	na	0.33	0.00	0.30	90%	1568	0	0	0.370694
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_1	spneumoniae-pangenome	pseudosimplitigs	3	1	0.68	0.02	0.45	68%	38688	0	0	0.736244
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_2	spneumoniae-pangenome	pseudosimplitigs	3	2	0.59	0.01	0.42	74%	38768	0	0	0.633535
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_3	spneumoniae-pangenome	pseudosimplitigs	3	3	0.56	0.01	0.42	78%	38688	0	0	0.641008
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_4	spneumoniae-pangenome	pseudosimplitigs	3	4	0.57	0.01	0.41	75%	38688	0	0	0.622934
spneumoniae-pangenome.S_pseudosimplitigs.k_3.d_5	spneumoniae-pangenome	pseudosimplitigs	3	5	0.69	0.01	0.48	72%	38368	0	0	0.80492
spneumoniae-pangenome.S_streaming.k_3.d_na	spneumoniae-pangenome	streaming	3	na	0.70	0.00	0.68	98%	1488	0	0	0.749914
spneumoniae-pangenome.S_greedy.k_4.d_na	spneumoniae-pangenome	greedy	4	na	0.37	0.00	0.33	90%	1712	0	0	0.420447
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_1	spneumoniae-pangenome	pseudosimplitigs	4	1	0.59	0.01	0.40	70%	38880	0	0	0.648664
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_2	spneumoniae-pangenome	pseudosimplitigs	4	2	0.57	0.01	0.40	73%	38752	0	0	0.608882
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_3	spneumoniae-pangenome	pseudosimplitigs	4	3	0.64	0.01	0.48	77%	38416	0	0	0.809508
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_4	spneumoniae-pangenome	pseudosimplitigs	4	4	0.55	0.01	0.41	77%	38800	0	0	0.630731
spneumoniae-pangenome.S_pseudosimplitigs.k_4.d_5	spneumoniae-pangenome	pseudosimplitigs	4	5	0.65	0.02	0.43	70%	38656	0	0	0.681546
spneumoniae-pangenome.S_streaming.k_4.d_na	spneumoniae-pangenome	streaming	4	na	1.04	0.00	0.95	92%	1488	0	0	1.089027
spneumoniae-pangenome.S_greedy.k_5.d_na	spneumoniae-pangenome	greedy	5	na	0.40	0.00	0.36	92%	1824	0	0	0.434119
spneumoniae-pangenome.S_pseudosimplitigs.k_5.d_1	spneumoniae-pangenome	pseudosimplitigs	5	1	0.61	0.01	0.44	74%	38896	0	0	0.645706
spneumoniae-pangenome.S_pseudosimplitigs.k_5.d_2	spneumoniae-pangenome	pseudosimplitigs	5	2	0.59	0.01	0.43	76%	38880	0	0	0.652284
spneumoniae-pangenome.S_pseudosimplitigs.k_5.d_3	spneumoniae-pangenome	pseudosimplitigs	5	3	0.61	0.02	0.45	76%	38800	0	0	0.659779
spneumoniae-pangenome.S_pseudosimplitigs.k_5.d_4	spneumoniae-pangenome	pseudosimplitigs	5	4	0.63	0.02	0.49	80%	38928	0	0	0.679308
spneumoniae-pangenome.S_pseudosimplitigs.k_5.d_5	spneumoniae-pangenome	pseudosimplitigs	5	5	0.60	0.02	0.46	79%	38736	0	0	0.672841
spneumoniae-pangenome.S_streaming.k_5.d_na	spneumoniae-pangenome	streaming	5	na	1.14	0.00	1.13	99%	1408	0	0	1.186264
spneumoniae-pangenome.S_greedy.k_6.d_na	spneumoniae-pangenome	greedy	6	na	0.40	0.00	0.38	96%	2320	0	0	0.437824
spneumoniae-pangenome.S_pseudosimplitigs.k_6.d_1	spneumoniae-pangenome	pseudosimplitigs	6	1	0.61	0.01	0.46	78%	39584	0	0	0.657885
spneumoniae-pangenome.S_pseudosimplitigs.k_6.d_2	spneumoniae-pangenome	pseudosimplitigs	6	2	0.71	0.01	0.55	79%	39152	0	0	0.856066
spneumoniae-pangenome.S_pseudosimplitigs.k_6.d_3	spneumoniae-pangenome	pseudosimplitigs	6	3	0.73	0.01	0.52	74%	39600	0	0	0.807301
spneumoniae-pangenome.S_pseudosimplitigs.k_6.d_4	spneumoniae-pangenome	pseudosimplitigs	6	4	0.65	0.01	0.48	76%	39536	0	0	0.685541
spneumoniae-pangenome.S_pseudosimplitigs.k_6.d_5	spneumoniae-pangenome	pseudosimplitigs	6	5	0.63	0.01	0.48	78%	39504	0	0	0.699292
spneumoniae-pangenome.S_streaming.k_6.d_na	spneumoniae-pangenome	streaming	6	na	1.36	0.00	1.30	95%	1616	0	0	1.405193
spneumoniae-pangenome.S_greedy.k_7.d_na	spneumoniae-pangenome	greedy	7	na	0.45	0.00	0.43	98%	4064	0	0	0.470813
spneumoniae-pangenome.S_pseudosimplitigs.k_7.d_1	spneumoniae-pangenome	pseudosimplitigs	7	1	0.76	0.02	0.58	78%	41680	0	0	0.803556
spneumoniae-pangenome.S_pseudosimplitigs.k_7.d_2	spneumoniae-pangenome	pseudosimplitigs	7	2	0.68	0.01	0.54	81%	41136	0	0	0.707891
spneumoniae-pangenome.S_pseudosimplitigs.k_7.d_3	spneumoniae-pangenome	pseudosimplitigs	7	3	0.68	0.01	0.53	80%	40944	0	0	0.710009
spneumoniae-pangenome.S_pseudosimplitigs.k_7.d_4	spneumoniae-pangenome	pseudosimplitigs	7	4	0.70	0.01	0.55	80%	40784	0	0	0.74766
spneumoniae-pangenome.S_pseudosimplitigs.k_7.d_5	spneumoniae-pangenome	pseudosimplitigs	7	5	0.69	0.01	0.54	80%	41120	0	0	0.70985
spneumoniae-pangenome.S_streaming.k_7.d_na	spneumoniae-pangenome	streaming	7	na	1.57	0.00	1.49	95%	2176	0	0	1.629656
spneumoniae-pangenome.S_greedy.k_8.d_na	spneumoniae-pangenome	greedy	8	na	0.73	0.00	0.55	75%	14288	0	0	0.833939
spneumoniae-pangenome.S_pseudosimplitigs.k_8.d_1	spneumoniae-pangenome	pseudosimplitigs	8	1	1.01	0.02	0.78	79%	49936	0	0	1.083751
spneumoniae-pangenome.S_pseudosimplitigs.k_8.d_2	spneumoniae-pangenome	pseudosimplitigs	8	2	0.93	0.02	0.74	82%	49888	0	0	0.983575
spneumoniae-pangenome.S_pseudosimplitigs.k_8.d_3	spneumoniae-pangenome	pseudosimplitigs	8	3	0.86	0.01	0.72	85%	50496	0	0	0.926691
spneumoniae-pangenome.S_pseudosimplitigs.k_8.d_4	spneumoniae-pangenome	pseudosimplitigs	8	4	0.94	0.02	0.77	84%	50976	0	0	0.98231
spneumoniae-pangenome.S_pseudosimplitigs.k_8.d_5	spneumoniae-pangenome	pseudosimplitigs	8	5	0.83	0.01	0.67	82%	48672	0	0	0.867613
spneumoniae-pangenome.S_streaming.k_8.d_na	spneumoniae-pangenome	streaming	8	na	1.57	0.00	1.55	99%	3264	0	0	1.623059
spneumoniae-pangenome.S_greedy.k_9.d_na	spneumoniae-pangenome	greedy	9	na	0.79	0.01	0.75	96%	37760	0	0	0.827162
spneumoniae-pangenome.S_pseudosimplitigs.k_9.d_1	spneumoniae-pangenome	pseudosimplitigs	9	1	1.99	0.03	1.78	90%	77696	0	0	2.044518
spneumoniae-pangenome.S_pseudosimplitigs.k_9.d_2	spneumoniae-pangenome	pseudosimplitigs	9	2	1.73	0.02	1.48	87%	85216	0	0	1.775557
spneumoniae-pangenome.S_pseudosimplitigs.k_9.d_3	spneumoniae-pangenome	pseudosimplitigs	9	3	2.47	0.03	2.27	93%	90016	0	0	2.51617
