pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_zeros	spneumoniae	pseudosimplitigsAC	3	2	zeros	0.06	0.01	0.04	96%	13636	0	0	0.067392
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_default	spneumoniae	pseudosimplitigs	4	1	default	0.00	0.00	0.00	100%	2000	0	0	0.007854
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_ones	spneumoniae	pseudosimplitigs	4	1	ones	0.07	0.01	0.05	95%	13668	0	0	0.075951
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_runs	spneumoniae	pseudosimplitigs	4	1	runs	0.09	0.01	0.07	94%	16420	0	0	0.09547
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_zeros	spneumoniae	pseudosimplitigs	4	1	zeros	0.05	0.01	0.04	98%	13660	0	0	0.062052
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_default	spneumoniae	pseudosimplitigs	4	2	default	0.00	0.00	0.00	0%	2012	0	0	0.006153
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_ones	spneumoniae	pseudosimplitigs	4	2	ones	0.06	0.00	0.06	97%	13704	0	0	0.073934
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_runs	spneumoniae	pseudosimplitigs	4	2	runs	0.08	0.01	0.06	95%	16452	0	0	0.088571
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_zeros	spneumoniae	pseudosimplitigs	4	2	zeros	0.06	0.02	0.03	96%	13696	0	0	0.072742
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_default	spneumoniae	pseudosimplitigs	4	3	default	0.00	0.00	0.00	89%	2012	0	0	0.007803
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_ones	spneumoniae	pseudosimplitigs	4	3	ones	0.06	0.00	0.05	92%	13676	0	0	0.072106
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_runs	spneumoniae	pseudosimplitigs	4	3	runs	0.13	0.03	0.10	97%	16416	0	0	0.140325
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_zeros	spneumoniae	pseudosimplitigs	4	3	zeros	0.06	0.00	0.05	97%	13672	0	0	0.071832
spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_default	spneumoniae	pseudosimplitigsAC	4	1	default	0.00	0.00	0.00	100%	2008	0	0	0.006815
spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_ones	spneumoniae	pseudosimplitigsAC	4	1	ones	0.06	0.00	0.05	96%	13648	0	0	0.06409
spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_runs	spneumoniae	pseudosimplitigsAC	4	1	runs	0.10	0.01	0.07	89%	16408	0	0	0.112818
spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	4	1	zeros	0.05	0.01	0.04	96%	13648	0	0	0.057351
spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_default	spneumoniae	pseudosimplitigsAC	4	2	default	0.00	0.00	0.00	100%	2008	0	0	0.005787
spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_ones	spneumoniae	pseudosimplitigsAC	4	2	ones	0.08	0.01	0.06	96%	13648	0	0	0.085188
spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_runs	spneumoniae	pseudosimplitigsAC	4	2	runs	0.09	0.02	0.06	96%	16408	0	0	0.099495
spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_zeros	spneumoniae	pseudosimplitigsAC	4	2	zeros	0.06	0.01	0.04	96%	13644	0	0	0.06687
spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_default	spneumoniae	pseudosimplitigsAC	4	3	default	0.00	0.00	0.00	100%	2008	0	0	0.007221
spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_ones	spneumoniae	pseudosimplitigsAC	4	3	ones	0.06	0.01	0.04	97%	13648	0	0	0.071324
spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_runs	spneumoniae	pseudosimplitigsAC	4	3	runs	0.10	0.03	0.06	96%	16408	0	0	0.107666
spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_zeros	spneumoniae	pseudosimplitigsAC	4	3	zeros	0.06	0.02	0.04	97%	13644	0	0	0.072216
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_default	spneumoniae	pseudosimplitigs	5	1	default	0.00	0.00	0.00	50%	2016	528	0	0.018938
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_ones	spneumoniae	pseudosimplitigs	5	1	ones	0.07	0.01	0.06	94%	13784	288	0	0.08003
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_runs	spneumoniae	pseudosimplitigs	5	1	runs	0.18	0.02	0.10	72%	16508	3968	0	0.185295
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_zeros	spneumoniae	pseudosimplitigs	5	1	zeros	0.08	0.01	0.06	97%	13756	16	0	0.086657
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_default	spneumoniae	pseudosimplitigs	5	2	default	0.00	0.00	0.00	100%	2020	0	0	0.006637
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_ones	spneumoniae	pseudosimplitigs	5	2	ones	0.06	0.00	0.05	96%	13784	0	0	0.064691
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_runs	spneumoniae	pseudosimplitigs	5	2	runs	0.11	0.03	0.07	97%	16508	0	0	0.119609
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_zeros	spneumoniae	pseudosimplitigs	5	2	zeros	0.07	0.01	0.06	97%	13752	0	0	0.082461
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_default	spneumoniae	pseudosimplitigs	5	3	default	0.00	0.00	0.00	100%	2028	0	0	0.006951
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_ones	spneumoniae	pseudosimplitigs	5	3	ones	0.06	0.01	0.04	96%	13772	0	0	0.069892
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_runs	spneumoniae	pseudosimplitigs	5	3	runs	0.10	0.00	0.08	87%	16496	0	0	0.109329
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_zeros	spneumoniae	pseudosimplitigs	5	3	zeros	0.05	0.00	0.04	94%	13740	0	0	0.061518
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_default	spneumoniae	pseudosimplitigs	5	4	default	0.00	0.00	0.00	20%	2008	0	0	0.011946
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_ones	spneumoniae	pseudosimplitigs	5	4	ones	0.06	0.01	0.05	97%	13748	0	0	0.072877
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_runs	spneumoniae	pseudosimplitigs	5	4	runs	0.09	0.02	0.06	96%	16476	0	0	0.102384
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_zeros	spneumoniae	pseudosimplitigs	5	4	zeros	0.06	0.02	0.04	96%	13720	0	0	0.070348
spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_default	spneumoniae	pseudosimplitigsAC	5	1	default	0.00	0.00	0.00	0%	2016	0	0	0.006175
spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_ones	spneumoniae	pseudosimplitigsAC	5	1	ones	0.06	0.00	0.05	96%	13728	0	0	0.065704
spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_runs	spneumoniae	pseudosimplitigsAC	5	1	runs	0.10	0.02	0.07	96%	16464	0	0	0.106963
spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	5	1	zeros	0.06	0.00	0.06	98%	13700	0	0	0.064921
spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_default	spneumoniae	pseudosimplitigsAC	5	2	default	0.00	0.00	0.00	100%	2016	0	0	0.004912
spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_ones	spneumoniae	pseudosimplitigsAC	5	2	ones	0.07	0.02	0.04	98%	13728	0	0	0.075973
spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_runs	spneumoniae	pseudosimplitigsAC	5	2	runs	0.12	0.01	0.10	96%	16464	0	0	0.12593
spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_zeros	spneumoniae	pseudosimplitigsAC	5	2	zeros	0.07	0.01	0.05	97%	13696	0	0	0.079916
spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_default	spneumoniae	pseudosimplitigsAC	5	3	default	0.00	0.00	0.00	100%	2016	0	0	0.006879
spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_ones	spneumoniae	pseudosimplitigsAC	5	3	ones	0.06	0.00	0.05	96%	13728	0	0	0.071148
spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_runs	spneumoniae	pseudosimplitigsAC	5	3	runs	0.10	0.02	0.07	94%	16464	0	0	0.105199
spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_zeros	spneumoniae	pseudosimplitigsAC	5	3	zeros	0.07	0.01	0.05	96%	13696	0	0	0.080793
spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_default	spneumoniae	pseudosimplitigsAC	5	4	default	0.00	0.00	0.00	100%	2016	0	0	0.007818
spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_ones	spneumoniae	pseudosimplitigsAC	5	4	ones	0.06	0.01	0.04	88%	13728	0	0	0.066583
spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_runs	spneumoniae	pseudosimplitigsAC	5	4	runs	0.08	0.01	0.06	96%	16464	0	0	0.090955
spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_zeros	spneumoniae	pseudosimplitigsAC	5	4	zeros	0.06	0.01	0.04	98%	13700	0	0	0.06357
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_default	spneumoniae	pseudosimplitigs	6	1	default	0.00	0.00	0.00	100%	2016	0	0	0.007327
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_ones	spneumoniae	pseudosimplitigs	6	1	ones	0.06	0.01	0.05	97%	14084	0	0	0.073407
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_runs	spneumoniae	pseudosimplitigs	6	1	runs	0.10	0.01	0.08	97%	16680	0	0	0.107619
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_zeros	spneumoniae	pseudosimplitigs	6	1	zeros	0.07	0.01	0.06	97%	13956	0	0	0.083034
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_default	spneumoniae	pseudosimplitigs	6	2	default	0.00	0.00	0.00	100%	2000	0	0	0.006926
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_ones	spneumoniae	pseudosimplitigs	6	2	ones	0.07	0.00	0.05	84%	14080	0	0	0.083088
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_runs	spneumoniae	pseudosimplitigs	6	2	runs	0.10	0.01	0.08	96%	16680	0	0	0.106889
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_zeros	spneumoniae	pseudosimplitigs	6	2	zeros	0.07	0.00	0.06	97%	13952	0	0	0.080465
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_default	spneumoniae	pseudosimplitigs	6	3	default	0.00	0.00	0.00	100%	2024	0	0	0.007217
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_ones	spneumoniae	pseudosimplitigs	6	3	ones	0.06	0.02	0.03	96%	14092	0	0	0.063247
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_runs	spneumoniae	pseudosimplitigs	6	3	runs	0.09	0.01	0.08	96%	16680	0	0	0.100954
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_zeros	spneumoniae	pseudosimplitigs	6	3	zeros	0.07	0.02	0.04	97%	13964	0	0	0.078437
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_default	spneumoniae	pseudosimplitigs	6	4	default	0.00	0.00	0.00	100%	2056	0	0	0.007174
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_ones	spneumoniae	pseudosimplitigs	6	4	ones	0.05	0.00	0.04	96%	14112	0	0	0.062138
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_runs	spneumoniae	pseudosimplitigs	6	4	runs	0.09	0.01	0.07	96%	16708	0	0	0.098982
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_zeros	spneumoniae	pseudosimplitigs	6	4	zeros	0.06	0.02	0.04	97%	13988	0	0	0.072078
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_default	spneumoniae	pseudosimplitigs	6	5	default	0.00	0.00	0.00	89%	2012	0	0	0.005919
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_ones	spneumoniae	pseudosimplitigs	6	5	ones	0.07	0.00	0.06	97%	14084	0	0	0.074727
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_runs	spneumoniae	pseudosimplitigs	6	5	runs	0.09	0.01	0.07	95%	16684	0	0	0.101844
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_zeros	spneumoniae	pseudosimplitigs	6	5	zeros	0.06	0.01	0.04	96%	13956	0	0	0.066882
spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_default	spneumoniae	pseudosimplitigsAC	6	1	default	0.00	0.00	0.00	100%	2024	0	0	0.007678
spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_ones	spneumoniae	pseudosimplitigsAC	6	1	ones	0.07	0.01	0.06	97%	14056	0	0	0.077699
spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_runs	spneumoniae	pseudosimplitigsAC	6	1	runs	0.10	0.01	0.08	95%	16664	0	0	0.108993
spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	6	1	zeros	0.07	0.01	0.05	97%	13924	0	0	0.079378
spneumoniae.S_pseudosimplitigsAC.k_6.d_2.M_default	spneumoniae	pseudosimplitigsAC	6	2	default	0.00	0.00	0.00	100%	2024	0	0	0.007606
spneumoniae.S_pseudosimplitigsAC.k_6.d_2.M_ones	spneumoniae	pseudosimplitigsAC	6	2	ones	0.06	0.00	0.05	98%	14052	0	0	0.067648
spneumoniae.S_pseudosimplitigsAC.k_6.d_2.M_runs	spneumoniae	pseudosimplitigsAC	6	2	runs	0.09	0.01	0.07	96%	16664	0	0	0.096884
spneumoniae.S_pseudosimplitigsAC.k_6.d_2.M_zeros	spneumoniae	pseudosimplitigsAC	6	2	zeros	0.08	0.02	0.05	96%	13920	0	0	0.089229
spneumoniae.S_pseudosimplitigsAC.k_6.d_3.M_default	spneumoniae	pseudosimplitigsAC	6	3	default	0.00	0.00	0.00	0%	2024	0	0	0.006011
spneumoniae.S_pseudosimplitigsAC.k_6.d_3.M_ones	spneumoniae	pseudosimplitigsAC	6	3	ones	0.06	0.02	0.04	96%	14052	0	0	0.071186
spneumoniae.S_pseudosimplitigsAC.k_6.d_3.M_runs	spneumoniae	pseudosimplitigsAC	6	3	runs	0.11	0.02	0.07	89%	16664	0	0	0.113761
spneumoniae.S_pseudosimplitigsAC.k_6.d_3.M_zeros	spneumoniae	pseudosimplitigsAC	6	3	zeros	0.07	0.01	0.05	97%	13920	0	0	0.077583
spneumoniae.S_pseudosimplitigsAC.k_6.d_4.M_default	spneumoniae	pseudosimplitigsAC	6	4	default	0.00	0.00	0.00	100%	2024	0	0	0.006475
spneumoniae.S_pseudosimplitigsAC.k_6.d_4.M_ones	spneumoniae	pseudosimplitigsAC	6	4	ones	0.06	0.02	0.03	95%	14056	0	0	0.066893
spneumoniae.S_pseudosimplitigsAC.k_6.d_4.M_runs	spneumoniae	pseudosimplitigsAC	6	4	runs	0.12	0.01	0.10	96%	16664	0	0	0.124012
spneumoniae.S_pseudosimplitigsAC.k_6.d_4.M_zeros	spneumoniae	pseudosimplitigsAC	6	4	zeros	0.07	0.01	0.05	98%	13920	0	0	0.083685
spneumoniae.S_pseudosimplitigsAC.k_6.d_5.M_default	spneumoniae	pseudosimplitigsAC	6	5	default	0.00	0.00	0.00	100%	2024	0	0	0.007053
spneumoniae.S_pseudosimplitigsAC.k_6.d_5.M_ones	spneumoniae	pseudosimplitigsAC	6	5	ones	0.07	0.01	0.05	97%	14052	0	0	0.074964
spneumoniae.S_pseudosimplitigsAC.k_6.d_5.M_runs	spneumoniae	pseudosimplitigsAC	6	5	runs	0.10	0.02	0.08	96%	16664	0	0	0.110253
spneumoniae.S_pseudosimplitigsAC.k_6.d_5.M_zeros	spneumoniae	pseudosimplitigsAC	6	5	zeros	0.08	0.02	0.05	96%	13920	0	0	0.087161
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_default	spneumoniae	pseudosimplitigs	7	1	default	0.00	0.00	0.00	100%	2036	0	0	0.007245
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_ones	spneumoniae	pseudosimplitigs	7	1	ones	0.10	0.01	0.08	96%	15264	0	0	0.111746
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_runs	spneumoniae	pseudosimplitigs	7	1	runs	0.17	0.01	0.14	97%	17196	0	0	0.174247
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_zeros	spneumoniae	pseudosimplitigs	7	1	zeros	0.08	0.00	0.07	97%	14620	0	0	0.082926
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_default	spneumoniae	pseudosimplitigs	7	2	default	0.00	0.00	0.00	100%	2040	0	0	0.00877
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_ones	spneumoniae	pseudosimplitigs	7	2	ones	0.09	0.00	0.08	97%	15208	0	0	0.094522
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_runs	spneumoniae	pseudosimplitigs	7	2	runs	0.15	0.03	0.11	96%	17196	0	0	0.158444
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_zeros	spneumoniae	pseudosimplitigs	7	2	zeros	0.09	0.01	0.07	97%	14824	0	0	0.096566
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_default	spneumoniae	pseudosimplitigs	7	3	default	0.00	0.00	0.00	0%	2032	0	0	0.006708
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_ones	spneumoniae	pseudosimplitigs	7	3	ones	0.10	0.02	0.07	93%	15200	0	0	0.105254
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_runs	spneumoniae	pseudosimplitigs	7	3	runs	0.12	0.01	0.10	95%	17192	0	0	0.128791
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_zeros	spneumoniae	pseudosimplitigs	7	3	zeros	0.08	0.01	0.06	97%	14816	0	0	0.091274
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_default	spneumoniae	pseudosimplitigs	7	4	default	0.00	0.00	0.00	100%	2072	0	0	0.009186
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_ones	spneumoniae	pseudosimplitigs	7	4	ones	0.09	0.01	0.08	96%	15268	0	0	0.101644
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_runs	spneumoniae	pseudosimplitigs	7	4	runs	0.12	0.00	0.11	97%	17220	0	0	0.129519
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_zeros	spneumoniae	pseudosimplitigs	7	4	zeros	0.08	0.01	0.06	97%	14844	0	0	0.083505
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_default	spneumoniae	pseudosimplitigs	7	5	default	0.00	0.00	0.00	100%	2028	0	0	0.008496
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_ones	spneumoniae	pseudosimplitigs	7	5	ones	0.09	0.01	0.07	96%	15272	0	0	0.097382
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_runs	spneumoniae	pseudosimplitigs	7	5	runs	0.14	0.03	0.10	95%	17208	0	0	0.150217
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_zeros	spneumoniae	pseudosimplitigs	7	5	zeros	0.09	0.01	0.07	96%	14836	0	0	0.103677
spneumoniae.S_pseudosimplitigs.k_7.d_6.M_default	spneumoniae	pseudosimplitigs	7	6	default	0.00	0.00	0.00	100%	2024	0	0	0.007945
spneumoniae.S_pseudosimplitigs.k_7.d_6.M_ones	spneumoniae	pseudosimplitigs	7	6	ones	0.07	0.01	0.05	97%	15160	0	0	0.074262
spneumoniae.S_pseudosimplitigs.k_7.d_6.M_runs	spneumoniae	pseudosimplitigs	7	6	runs	0.10	0.01	0.08	97%	17152	0	0	0.107144
spneumoniae.S_pseudosimplitigs.k_7.d_6.M_zeros	spneumoniae	pseudosimplitigs	7	6	zeros	0.08	0.01	0.06	98%	14776	0	0	0.086581
spneumoniae.S_pseudosimplitigsAC.k_7.d_1.M_default	spneumoniae	pseudosimplitigsAC	7	1	default	0.00	0.00	0.00	100%	2040	0	0	0.007462
spneumoniae.S_pseudosimplitigsAC.k_7.d_1.M_ones	spneumoniae	pseudosimplitigsAC	7	1	ones	0.10	0.00	0.09	98%	15172	0	0	0.105418
spneumoniae.S_pseudosimplitigsAC.k_7.d_1.M_runs	spneumoniae	pseudosimplitigsAC	7	1	runs	0.13	0.01	0.11	91%	17176	0	0	0.140111
spneumoniae.S_pseudosimplitigsAC.k_7.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	7	1	zeros	0.10	0.01	0.08	98%	14572	0	0	0.108321
spneumoniae.S_pseudosimplitigsAC.k_7.d_2.M_default	spneumoniae	pseudosimplitigsAC	7	2	default	0.00	0.00	0.00	100%	2040	0	0	0.012644
spneumoniae.S_pseudosimplitigsAC.k_7.d_2.M_ones	spneumoniae	pseudosimplitigsAC	7	2	ones	0.10	0.01	0.09	98%	15172	0	0	0.113163
spneumoniae.S_pseudosimplitigsAC.k_7.d_2.M_runs	spneumoniae	pseudosimplitigsAC	7	2	runs	0.15	0.01	0.12	96%	17176	0	0	0.157038
spneumoniae.S_pseudosimplitigsAC.k_7.d_2.M_zeros	spneumoniae	pseudosimplitigsAC	7	2	zeros	0.08	0.01	0.06	89%	14572	0	0	0.093335
spneumoniae.S_pseudosimplitigsAC.k_7.d_3.M_default	spneumoniae	pseudosimplitigsAC	7	3	default	0.00	0.00	0.00	100%	2040	0	0	0.008163
spneumoniae.S_pseudosimplitigsAC.k_7.d_3.M_ones	spneumoniae	pseudosimplitigsAC	7	3	ones	0.08	0.00	0.08	98%	15172	0	0	0.093817
spneumoniae.S_pseudosimplitigsAC.k_7.d_3.M_runs	spneumoniae	pseudosimplitigsAC	7	3	runs	0.15	0.01	0.12	94%	17176	0	0	0.162008
spneumoniae.S_pseudosimplitigsAC.k_7.d_3.M_zeros	spneumoniae	pseudosimplitigsAC	7	3	zeros	0.09	0.01	0.07	97%	14572	0	0	0.095763
spneumoniae.S_pseudosimplitigsAC.k_7.d_4.M_default	spneumoniae	pseudosimplitigsAC	7	4	default	0.00	0.00	0.00	100%	2040	0	0	0.008112
spneumoniae.S_pseudosimplitigsAC.k_7.d_4.M_ones	spneumoniae	pseudosimplitigsAC	7	4	ones	0.09	0.01	0.07	96%	15172	0	0	0.097396
spneumoniae.S_pseudosimplitigsAC.k_7.d_4.M_runs	spneumoniae	pseudosimplitigsAC	7	4	runs	0.12	0.02	0.10	96%	17176	0	0	0.131311
spneumoniae.S_pseudosimplitigsAC.k_7.d_4.M_zeros	spneumoniae	pseudosimplitigsAC	7	4	zeros	0.09	0.02	0.06	95%	14572	0	0	0.097734
spneumoniae.S_pseudosimplitigsAC.k_7.d_5.M_default	spneumoniae	pseudosimplitigsAC	7	5	default	0.00	0.00	0.00	0%	2040	0	0	0.006194
spneumoniae.S_pseudosimplitigsAC.k_7.d_5.M_ones	spneumoniae	pseudosimplitigsAC	7	5	ones	0.10	0.03	0.07	97%	15172	0	0	0.109986
