pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	3	1	zeros	0.20	0.02	0.06	40%	13740	0	0	0.223227
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigs	3	2	default	0.00	0.00	0.00	88%	2052	0	0	0.073904
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigs	3	2	ones	0.17	0.03	0.05	48%	13732	0	0	0.198702
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigs	3	2	runs	0.30	0.02	0.11	47%	16504	0	0	0.330465
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	3	2	zeros	0.21	0.02	0.07	44%	13732	0	0	0.216927
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigs	3	3	default	0.02	0.00	0.00	8%	2052	0	0	0.064162
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigs	3	3	ones	0.18	0.02	0.06	46%	13732	0	0	0.225109
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigs	3	3	runs	0.34	0.03	0.10	39%	16504	0	0	0.371022
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	3	3	zeros	0.23	0.03	0.05	41%	13740	0	0	0.259164
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigs	3	4	default	0.01	0.00	0.00	5%	2052	0	0	0.067216
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigs	3	4	ones	0.28	0.02	0.07	34%	13732	0	0	0.3349
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_runs	sars-cov-2-pangenome	pseudosimplitigs	3	4	runs	0.29	0.03	0.10	47%	16504	0	0	0.319848
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	3	4	zeros	0.19	0.01	0.07	46%	13740	0	0	0.237419
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_default	sars-cov-2-pangenome	pseudosimplitigs	3	5	default	0.02	0.00	0.00	5%	2052	0	0	0.082645
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_ones	sars-cov-2-pangenome	pseudosimplitigs	3	5	ones	0.21	0.03	0.05	41%	13732	0	0	0.252064
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_runs	sars-cov-2-pangenome	pseudosimplitigs	3	5	runs	0.40	0.03	0.10	35%	16512	0	0	0.430915
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	3	5	zeros	0.15	0.01	0.07	56%	13732	0	0	0.180382
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	3	1	default	0.02	0.00	0.00	4%	2048	0	0	0.08782
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	3	1	ones	0.20	0.02	0.06	44%	13740	0	0	0.241738
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	3	1	runs	0.35	0.03	0.12	44%	16504	0	0	0.388441
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	3	1	zeros	0.18	0.01	0.06	47%	13732	0	0	0.208517
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	3	2	default	0.00	0.00	0.00	50%	2048	0	0	0.041205
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	3	2	ones	0.21	0.02	0.07	42%	13732	0	0	0.249525
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	3	2	runs	0.28	0.02	0.10	47%	16504	0	0	0.307041
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	3	2	zeros	0.27	0.03	0.06	34%	13732	0	0	0.296363
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	3	3	default	0.01	0.00	0.00	5%	2048	0	0	0.037338
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	3	3	ones	0.21	0.02	0.07	46%	13732	0	0	0.241907
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	3	3	runs	0.29	0.02	0.11	47%	16504	0	0	0.320662
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	3	3	zeros	0.18	0.01	0.07	50%	13732	0	0	0.211489
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	3	4	default	0.02	0.00	0.00	3%	2048	0	0	0.04344
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	3	4	ones	0.24	0.02	0.07	38%	13740	0	0	0.278815
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	3	4	runs	0.26	0.03	0.08	48%	16504	0	0	0.280973
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	3	4	zeros	0.22	0.04	0.05	44%	13740	0	0	0.24842
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	3	5	default	0.00	0.00	0.00	12%	2048	0	0	0.063142
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	3	5	ones	0.23	0.02	0.07	39%	13740	0	0	0.258788
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	3	5	runs	0.32	0.03	0.11	44%	16504	0	0	0.34178
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	3	5	zeros	0.21	0.01	0.07	40%	13732	0	0	0.238762
sars-cov-2-pangenome.S_streaming.k_3.d_na.M_default	sars-cov-2-pangenome	streaming	3	na	default	0.02	0.00	0.00	5%	2052	0	0	0.112032
sars-cov-2-pangenome.S_streaming.k_3.d_na.M_ones	sars-cov-2-pangenome	streaming	3	na	ones	0.19	0.02	0.06	44%	13732	0	0	0.233772
sars-cov-2-pangenome.S_streaming.k_3.d_na.M_runs	sars-cov-2-pangenome	streaming	3	na	runs	0.37	0.02	0.12	38%	16500	0	0	0.392058
sars-cov-2-pangenome.S_streaming.k_3.d_na.M_zeros	sars-cov-2-pangenome	streaming	3	na	zeros	0.19	0.01	0.07	46%	13740	0	0	0.219323
sars-cov-2-pangenome.S_greedy.k_4.d_na.M_default	sars-cov-2-pangenome	greedy	4	na	default	0.03	0.00	0.00	6%	2052	0	0	0.06184
sars-cov-2-pangenome.S_greedy.k_4.d_na.M_ones	sars-cov-2-pangenome	greedy	4	na	ones	0.23	0.02	0.07	39%	13748	0	0	0.261861
sars-cov-2-pangenome.S_greedy.k_4.d_na.M_runs	sars-cov-2-pangenome	greedy	4	na	runs	0.41	0.02	0.12	37%	16500	0	0	0.437123
sars-cov-2-pangenome.S_greedy.k_4.d_na.M_zeros	sars-cov-2-pangenome	greedy	4	na	zeros	0.20	0.00	0.09	48%	13744	0	0	0.227776
sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_default	sars-cov-2-pangenome	greedyAC	4	na	default	0.01	0.00	0.00	5%	2052	0	0	0.108123
sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_ones	sars-cov-2-pangenome	greedyAC	4	na	ones	0.21	0.02	0.06	41%	13744	0	0	0.235892
sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_runs	sars-cov-2-pangenome	greedyAC	4	na	runs	0.41	0.02	0.12	37%	16504	0	0	0.43314
sars-cov-2-pangenome.S_greedyAC.k_4.d_na.M_zeros	sars-cov-2-pangenome	greedyAC	4	na	zeros	0.28	0.00	0.08	32%	13740	0	0	0.310839
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigs	4	1	default	0.02	0.00	0.00	5%	2052	0	0	0.068068
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigs	4	1	ones	0.20	0.01	0.08	44%	13748	0	0	0.221876
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigs	4	1	runs	0.45	0.04	0.10	31%	16508	0	0	0.480575
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	4	1	zeros	0.17	0.01	0.07	47%	13740	0	0	0.188256
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigs	4	2	default	0.03	0.00	0.00	3%	2052	0	0	0.074355
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigs	4	2	ones	0.23	0.01	0.08	40%	13744	0	0	0.256323
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigs	4	2	runs	0.40	0.00	0.13	33%	16508	0	0	0.440595
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	4	2	zeros	0.21	0.01	0.07	41%	13744	0	0	0.242966
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigs	4	3	default	0.01	0.00	0.00	7%	2052	0	0	0.054625
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigs	4	3	ones	0.21	0.03	0.06	44%	13748	0	0	0.24757
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigs	4	3	runs	0.35	0.01	0.14	43%	16508	0	0	0.379922
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	4	3	zeros	0.19	0.02	0.06	45%	13744	0	0	0.220926
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigs	4	4	default	0.01	0.00	0.00	12%	2052	0	0	0.063997
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigs	4	4	ones	0.23	0.02	0.07	39%	13744	0	0	0.278182
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_runs	sars-cov-2-pangenome	pseudosimplitigs	4	4	runs	0.44	0.02	0.11	31%	16508	0	0	0.459484
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	4	4	zeros	0.24	0.03	0.04	34%	13744	0	0	0.25888
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_default	sars-cov-2-pangenome	pseudosimplitigs	4	5	default	0.02	0.00	0.00	4%	2052	0	0	0.115945
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_ones	sars-cov-2-pangenome	pseudosimplitigs	4	5	ones	0.19	0.01	0.07	44%	13744	0	0	0.230874
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_runs	sars-cov-2-pangenome	pseudosimplitigs	4	5	runs	0.28	0.02	0.12	51%	16508	0	0	0.308213
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	4	5	zeros	0.24	0.02	0.06	37%	13740	0	0	0.271192
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	4	1	default	0.02	0.00	0.00	8%	2052	0	0	0.064414
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	4	1	ones	0.26	0.03	0.05	35%	13748	0	0	0.286872
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	4	1	runs	0.30	0.03	0.10	44%	16508	0	0	0.332137
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	4	1	zeros	0.18	0.01	0.06	46%	13740	0	0	0.217886
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	4	2	default	0.02	0.00	0.00	10%	2052	0	0	0.071589
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	4	2	ones	0.23	0.03	0.06	41%	13744	0	0	0.277784
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	4	2	runs	0.33	0.02	0.11	41%	16508	0	0	0.358166
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	4	2	zeros	0.26	0.02	0.08	37%	13744	0	0	0.293341
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	4	3	default	0.02	0.00	0.00	4%	2052	0	0	0.053167
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	4	3	ones	0.21	0.01	0.07	41%	13744	0	0	0.248131
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	4	3	runs	0.35	0.02	0.12	41%	16508	0	0	0.387058
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	4	3	zeros	0.25	0.01	0.07	35%	13740	0	0	0.287076
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	4	4	default	0.01	0.00	0.00	16%	2052	0	0	0.058787
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	4	4	ones	0.20	0.03	0.05	42%	13744	0	0	0.242255
