pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae	pseudosimplitigs	5	3	0.16	0.00	0.12	77%	8448	0	0	0.169405
spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae	pseudosimplitigs	5	4	0.17	0.00	0.13	77%	8460	0	0	0.183511
spneumoniae.S_pseudosimplitigsAC.k_5.d_1	spneumoniae	pseudosimplitigsAC	5	1	0.18	0.01	0.14	83%	8460	0	0	0.186445
spneumoniae.S_pseudosimplitigsAC.k_5.d_2	spneumoniae	pseudosimplitigsAC	5	2	0.16	0.00	0.12	80%	8460	0	0	0.166063
spneumoniae.S_pseudosimplitigsAC.k_5.d_3	spneumoniae	pseudosimplitigsAC	5	3	0.20	0.00	0.16	83%	8460	0	0	0.204283
spneumoniae.S_pseudosimplitigsAC.k_5.d_4	spneumoniae	pseudosimplitigsAC	5	4	0.21	0.00	0.16	77%	8460	0	0	0.217961
spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae	pseudosimplitigs	6	1	0.19	0.00	0.14	78%	7360	0	0	0.200715
spneumoniae.S_pseudosimplitigs.k_6.d_2	spneumoniae	pseudosimplitigs	6	2	0.15	0.00	0.11	76%	8408	0	0	0.165309
spneumoniae.S_pseudosimplitigs.k_6.d_3	spneumoniae	pseudosimplitigs	6	3	0.18	0.00	0.14	81%	8432	0	0	0.193048
spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae	pseudosimplitigs	6	4	0.24	0.01	0.17	78%	8432	0	0	0.24493
spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae	pseudosimplitigs	6	5	0.17	0.00	0.13	80%	8436	0	0	0.176415
spneumoniae.S_pseudosimplitigsAC.k_6.d_1	spneumoniae	pseudosimplitigsAC	6	1	0.16	0.00	0.11	78%	8420	0	0	0.165743
spneumoniae.S_pseudosimplitigsAC.k_6.d_2	spneumoniae	pseudosimplitigsAC	6	2	0.23	0.00	0.19	79%	8460	0	0	0.244206
spneumoniae.S_pseudosimplitigsAC.k_6.d_3	spneumoniae	pseudosimplitigsAC	6	3	0.18	0.01	0.14	82%	8460	0	0	0.188014
spneumoniae.S_pseudosimplitigsAC.k_6.d_4	spneumoniae	pseudosimplitigsAC	6	4	0.22	0.00	0.19	84%	8460	0	0	0.228914
spneumoniae.S_pseudosimplitigsAC.k_6.d_5	spneumoniae	pseudosimplitigsAC	6	5	0.24	0.00	0.20	82%	8460	0	0	0.252716
spneumoniae.S_pseudosimplitigs.k_7.d_1	spneumoniae	pseudosimplitigs	7	1	0.27	0.01	0.21	84%	8436	0	0	0.274043
spneumoniae.S_pseudosimplitigs.k_7.d_2	spneumoniae	pseudosimplitigs	7	2	0.27	0.00	0.22	85%	8432	0	0	0.279048
spneumoniae.S_pseudosimplitigs.k_7.d_3	spneumoniae	pseudosimplitigs	7	3	0.27	0.00	0.23	84%	8460	0	0	0.280366
spneumoniae.S_pseudosimplitigs.k_7.d_4	spneumoniae	pseudosimplitigs	7	4	0.26	0.01	0.21	85%	8472	0	0	0.267107
spneumoniae.S_pseudosimplitigs.k_7.d_5	spneumoniae	pseudosimplitigs	7	5	0.22	0.00	0.18	82%	8456	0	0	0.234011
spneumoniae.S_pseudosimplitigs.k_7.d_6	spneumoniae	pseudosimplitigs	7	6	0.23	0.00	0.19	83%	8444	0	0	0.241221
spneumoniae.S_pseudosimplitigsAC.k_7.d_1	spneumoniae	pseudosimplitigsAC	7	1	0.26	0.01	0.22	86%	18316	0	0	0.272402
spneumoniae.S_pseudosimplitigsAC.k_7.d_2	spneumoniae	pseudosimplitigsAC	7	2	0.33	0.00	0.28	87%	18316	0	0	0.338351
spneumoniae.S_pseudosimplitigsAC.k_7.d_3	spneumoniae	pseudosimplitigsAC	7	3	0.25	0.00	0.21	86%	18316	0	0	0.260602
spneumoniae.S_pseudosimplitigsAC.k_7.d_4	spneumoniae	pseudosimplitigsAC	7	4	0.28	0.00	0.24	87%	18316	0	0	0.287096
spneumoniae.S_pseudosimplitigsAC.k_7.d_5	spneumoniae	pseudosimplitigsAC	7	5	0.21	0.00	0.17	84%	18316	0	0	0.217514
spneumoniae.S_pseudosimplitigsAC.k_7.d_6	spneumoniae	pseudosimplitigsAC	7	6	0.30	0.01	0.26	88%	18316	0	0	0.312227
spneumoniae.S_pseudosimplitigs.k_8.d_1	spneumoniae	pseudosimplitigs	8	1	1.00	0.00	0.93	94%	12240	0	0	1.006515
spneumoniae.S_pseudosimplitigs.k_8.d_2	spneumoniae	pseudosimplitigs	8	2	0.42	0.01	0.36	90%	12216	0	0	0.426131
spneumoniae.S_pseudosimplitigs.k_8.d_3	spneumoniae	pseudosimplitigs	8	3	0.35	0.01	0.31	91%	12192	0	0	0.362654
spneumoniae.S_pseudosimplitigs.k_8.d_4	spneumoniae	pseudosimplitigs	8	4	0.48	0.01	0.42	91%	12216	0	0	0.489626
spneumoniae.S_pseudosimplitigs.k_8.d_5	spneumoniae	pseudosimplitigs	8	5	0.54	0.00	0.49	90%	12208	0	0	0.549056
spneumoniae.S_pseudosimplitigs.k_8.d_6	spneumoniae	pseudosimplitigs	8	6	0.62	0.00	0.58	93%	12212	0	0	0.633704
spneumoniae.S_pseudosimplitigs.k_8.d_7	spneumoniae	pseudosimplitigs	8	7	0.44	0.00	0.39	89%	12244	0	0	0.447559
spneumoniae.S_pseudosimplitigsAC.k_8.d_1	spneumoniae	pseudosimplitigsAC	8	1	0.76	0.03	0.67	94%	64772	0	0	0.765024
spneumoniae.S_pseudosimplitigsAC.k_8.d_2	spneumoniae	pseudosimplitigsAC	8	2	0.56	0.03	0.50	93%	64772	0	0	0.570645
spneumoniae.S_pseudosimplitigsAC.k_8.d_3	spneumoniae	pseudosimplitigsAC	8	3	0.68	0.03	0.60	92%	64772	0	0	0.68816
spneumoniae.S_pseudosimplitigsAC.k_8.d_4	spneumoniae	pseudosimplitigsAC	8	4	0.70	0.03	0.62	94%	64772	0	0	0.706474
spneumoniae.S_pseudosimplitigsAC.k_8.d_5	spneumoniae	pseudosimplitigsAC	8	5	0.66	0.03	0.58	92%	64772	0	0	0.670804
spneumoniae.S_pseudosimplitigsAC.k_8.d_6	spneumoniae	pseudosimplitigsAC	8	6	0.78	0.04	0.70	95%	64772	0	0	0.786957
spneumoniae.S_pseudosimplitigsAC.k_8.d_7	spneumoniae	pseudosimplitigsAC	8	7	0.60	0.02	0.54	94%	64772	0	0	0.607392
spneumoniae.S_pseudosimplitigs.k_9.d_1	spneumoniae	pseudosimplitigs	9	1	1.20	0.02	1.09	93%	32464	0	0	1.206524
spneumoniae.S_pseudosimplitigs.k_9.d_2	spneumoniae	pseudosimplitigs	9	2	0.96	0.04	0.82	90%	32464	0	0	0.972898
spneumoniae.S_pseudosimplitigs.k_9.d_3	spneumoniae	pseudosimplitigs	9	3	1.27	0.00	1.17	92%	32480	0	0	1.275258
spneumoniae.S_pseudosimplitigs.k_9.d_4	spneumoniae	pseudosimplitigs	9	4	1.47	0.01	1.37	94%	32476	0	0	1.478044
spneumoniae.S_pseudosimplitigs.k_9.d_5	spneumoniae	pseudosimplitigs	9	5	1.47	0.01	1.35	93%	32452	0	0	1.475056
spneumoniae.S_pseudosimplitigs.k_9.d_6	spneumoniae	pseudosimplitigs	9	6	1.29	0.03	1.16	93%	32500	0	0	1.294791
spneumoniae.S_pseudosimplitigs.k_9.d_7	spneumoniae	pseudosimplitigs	9	7	1.72	0.01	1.61	94%	32504	0	0	1.726226
spneumoniae.S_pseudosimplitigs.k_9.d_8	spneumoniae	pseudosimplitigs	9	8	1.46	0.01	1.35	93%	32476	0	0	1.467735
spneumoniae.S_pseudosimplitigsAC.k_9.d_1	spneumoniae	pseudosimplitigsAC	9	1	2.42	0.09	2.25	96%	244092	0	0	2.433468
spneumoniae.S_pseudosimplitigsAC.k_9.d_2	spneumoniae	pseudosimplitigsAC	9	2	3.31	0.13	3.07	96%	244036	0	0	3.319963
spneumoniae.S_pseudosimplitigsAC.k_9.d_3	spneumoniae	pseudosimplitigsAC	9	3	2.97	0.11	2.76	96%	244140	0	0	2.978149
spneumoniae.S_pseudosimplitigsAC.k_9.d_4	spneumoniae	pseudosimplitigsAC	9	4	2.27	0.09	2.09	96%	244140	0	0	2.280957
spneumoniae.S_pseudosimplitigsAC.k_9.d_5	spneumoniae	pseudosimplitigsAC	9	5	2.69	0.13	2.48	97%	244404	0	0	2.696146
spneumoniae.S_pseudosimplitigsAC.k_9.d_6	spneumoniae	pseudosimplitigsAC	9	6	2.61	0.11	2.42	97%	244932	0	0	2.618909
spneumoniae.S_pseudosimplitigsAC.k_9.d_7	spneumoniae	pseudosimplitigsAC	9	7	3.26	0.18	2.98	97%	245104	0	0	3.264332
spneumoniae.S_pseudosimplitigsAC.k_9.d_8	spneumoniae	pseudosimplitigsAC	9	8	2.56	0.11	2.36	96%	244932	0	0	2.570766
spneumoniae.S_pseudosimplitigs.k_10.d_1	spneumoniae	pseudosimplitigs	10	1	4.14	0.05	3.67	89%	87080	0	0	4.152459
spneumoniae.S_pseudosimplitigs.k_10.d_2	spneumoniae	pseudosimplitigs	10	2	3.29	0.04	2.74	84%	87060	0	0	3.295928
spneumoniae.S_pseudosimplitigs.k_10.d_3	spneumoniae	pseudosimplitigs	10	3	4.02	0.08	3.54	90%	86924	0	0	4.02866
spneumoniae.S_pseudosimplitigs.k_10.d_4	spneumoniae	pseudosimplitigs	10	4	3.24	0.05	2.77	87%	87092	0	0	3.245982
spneumoniae.S_pseudosimplitigs.k_10.d_5	spneumoniae	pseudosimplitigs	10	5	3.00	0.08	2.48	85%	87104	0	0	3.012813
spneumoniae.S_pseudosimplitigs.k_10.d_6	spneumoniae	pseudosimplitigs	10	6	3.92	0.03	3.37	87%	87144	0	0	3.931367
spneumoniae.S_pseudosimplitigs.k_10.d_7	spneumoniae	pseudosimplitigs	10	7	3.73	0.09	3.15	87%	87124	0	0	3.737352
spneumoniae.S_pseudosimplitigs.k_10.d_8	spneumoniae	pseudosimplitigs	10	8	3.66	0.04	3.21	88%	87156	0	0	3.667954
spneumoniae.S_pseudosimplitigs.k_10.d_9	spneumoniae	pseudosimplitigs	10	9	4.26	0.04	3.72	88%	87148	0	0	4.265609
spneumoniae.S_pseudosimplitigsAC.k_10.d_1	spneumoniae	pseudosimplitigsAC	10	1	11.10	1.24	9.37	95%	888660	0	0	11.105558
spneumoniae.S_pseudosimplitigsAC.k_10.d_2	spneumoniae	pseudosimplitigsAC	10	2	9.92	0.41	9.12	96%	887872	0	0	9.929397
spneumoniae.S_pseudosimplitigsAC.k_10.d_3	spneumoniae	pseudosimplitigsAC	10	3	10.81	0.49	9.94	96%	888128	0	0	10.817367
spneumoniae.S_pseudosimplitigsAC.k_10.d_4	spneumoniae	pseudosimplitigsAC	10	4	10.02	0.53	9.09	96%	896088	0	0	10.036673
spneumoniae.S_pseudosimplitigsAC.k_10.d_5	spneumoniae	pseudosimplitigsAC	10	5	12.54	0.93	11.21	96%	896088	0	0	12.545421
spneumoniae.S_pseudosimplitigsAC.k_10.d_6	spneumoniae	pseudosimplitigsAC	10	6	12.70	1.27	11.05	97%	896088	0	0	12.708194
spneumoniae.S_pseudosimplitigsAC.k_10.d_7	spneumoniae	pseudosimplitigsAC	10	7	11.04	0.46	10.12	95%	896088	0	0	11.05158
spneumoniae.S_pseudosimplitigsAC.k_10.d_8	spneumoniae	pseudosimplitigsAC	10	8	8.93	0.27	8.31	96%	896088	0	0	8.938048
spneumoniae.S_pseudosimplitigsAC.k_10.d_9	spneumoniae	pseudosimplitigsAC	10	9	11.87	0.68	10.78	96%	896088	0	0	11.877947
spneumoniae.S_pseudosimplitigs.k_11.d_1	spneumoniae	pseudosimplitigs	11	1	7.13	0.22	5.73	83%	174612	0	0	7.1424
spneumoniae.S_pseudosimplitigs.k_11.d_10	spneumoniae	pseudosimplitigs	11	10	21.19	0.08	20.13	95%	174832	0	0	21.196485
spneumoniae.S_pseudosimplitigs.k_11.d_2	spneumoniae	pseudosimplitigs	11	2	6.08	0.07	4.99	83%	174808	0	0	6.083209
spneumoniae.S_pseudosimplitigs.k_11.d_3	spneumoniae	pseudosimplitigs	11	3	7.14	0.09	5.85	83%	174536	0	0	7.144422
spneumoniae.S_pseudosimplitigs.k_11.d_4	spneumoniae	pseudosimplitigs	11	4	7.64	0.12	6.44	85%	174556	0	0	7.652487
spneumoniae.S_pseudosimplitigs.k_11.d_5	spneumoniae	pseudosimplitigs	11	5	8.96	0.13	7.89	89%	174684	0	0	8.973594
spneumoniae.S_pseudosimplitigs.k_11.d_6	spneumoniae	pseudosimplitigs	11	6	11.15	0.25	9.95	91%	174776	0	0	11.158112
spneumoniae.S_pseudosimplitigs.k_11.d_7	spneumoniae	pseudosimplitigs	11	7	10.32	0.13	9.23	90%	174592	0	0	10.326936
spneumoniae.S_pseudosimplitigs.k_11.d_8	spneumoniae	pseudosimplitigs	11	8	25.22	9.00	11.22	80%	174752	13616	0	25.227072
spneumoniae.S_pseudosimplitigs.k_11.d_9	spneumoniae	pseudosimplitigs	11	9	13.96	0.12	12.79	92%	174632	0	0	13.970654
spneumoniae.S_pseudosimplitigsAC.k_11.d_1	spneumoniae	pseudosimplitigsAC	11	1	25.74	1.55	23.11	95%	2231532	0	0	25.750963
spneumoniae.S_pseudosimplitigsAC.k_11.d_10	spneumoniae	pseudosimplitigsAC	11	10	29.59	0.94	27.81	97%	2338664	0	0	29.596719
spneumoniae.S_pseudosimplitigsAC.k_11.d_2	spneumoniae	pseudosimplitigsAC	11	2	22.99	0.99	21.07	95%	2230288	0	0	23.004061
spneumoniae.S_pseudosimplitigsAC.k_11.d_3	spneumoniae	pseudosimplitigsAC	11	3	30.93	1.36	28.72	97%	2230104	0	0	30.939364
spneumoniae.S_pseudosimplitigsAC.k_11.d_4	spneumoniae	pseudosimplitigsAC	11	4	31.27	1.19	29.15	97%	2280868	0	0	31.277393
spneumoniae.S_pseudosimplitigsAC.k_11.d_5	spneumoniae	pseudosimplitigsAC	11	5	31.12	1.42	28.75	96%	2285620	0	0	31.125495
spneumoniae.S_pseudosimplitigsAC.k_11.d_6	spneumoniae	pseudosimplitigsAC	11	6	28.54	1.01	26.69	97%	2292132	0	0	28.549018
spneumoniae.S_pseudosimplitigsAC.k_11.d_7	spneumoniae	pseudosimplitigsAC	11	7	35.16	2.00	32.14	97%	2299108	0	0	35.174378
spneumoniae.S_pseudosimplitigsAC.k_11.d_8	spneumoniae	pseudosimplitigsAC	11	8	30.63	1.25	28.48	97%	2331116	0	0	30.640152
spneumoniae.S_pseudosimplitigsAC.k_11.d_9	spneumoniae	pseudosimplitigsAC	11	9	34.31	1.83	31.38	96%	2336416	0	0	34.316989
spneumoniae.S_pseudosimplitigs.k_12.d_1	spneumoniae	pseudosimplitigs	12	1	11.88	0.19	9.83	84%	317032	0	0	11.887361
spneumoniae.S_pseudosimplitigs.k_12.d_10	spneumoniae	pseudosimplitigs	12	10	32.14	0.11	30.32	94%	317084	0	0	32.152673
spneumoniae.S_pseudosimplitigs.k_12.d_11	spneumoniae	pseudosimplitigs	12	11	64.26	3.81	56.95	94%	316728	3872	0	64.265527
spneumoniae.S_pseudosimplitigs.k_12.d_2	spneumoniae	pseudosimplitigs	12	2	10.78	0.20	8.67	82%	317120	0	0	10.791846
spneumoniae.S_pseudosimplitigs.k_12.d_3	spneumoniae	pseudosimplitigs	12	3	11.59	0.25	9.42	83%	317048	0	0	11.599628
spneumoniae.S_pseudosimplitigs.k_12.d_4	spneumoniae	pseudosimplitigs	12	4	12.21	0.24	10.41	87%	317056	0	0	12.218336
spneumoniae.S_pseudosimplitigs.k_12.d_5	spneumoniae	pseudosimplitigs	12	5	13.39	0.12	11.53	87%	317084	0	0	13.395352
spneumoniae.S_pseudosimplitigs.k_12.d_6	spneumoniae	pseudosimplitigs	12	6	16.11	0.19	14.34	90%	317084	0	0	16.123727
spneumoniae.S_pseudosimplitigs.k_12.d_7	spneumoniae	pseudosimplitigs	12	7	21.58	0.42	19.59	92%	316732	0	0	21.590895
spneumoniae.S_pseudosimplitigs.k_12.d_8	spneumoniae	pseudosimplitigs	12	8	22.23	0.38	20.02	91%	317084	0	0	22.238841
spneumoniae.S_pseudosimplitigs.k_12.d_9	spneumoniae	pseudosimplitigs	12	9	31.20	4.92	22.13	86%	317108	4744	0	31.211709
spneumoniae.S_pseudosimplitigsAC.k_12.d_1	spneumoniae	pseudosimplitigsAC	12	1	39.52	1.71	36.09	95%	3827048	0	0	39.531422
spneumoniae.S_pseudosimplitigsAC.k_12.d_10	spneumoniae	pseudosimplitigsAC	12	10	58.19	2.06	54.69	97%	4220548	0	0	58.197543
spneumoniae.S_pseudosimplitigsAC.k_12.d_11	spneumoniae	pseudosimplitigsAC	12	11	65.01	2.24	61.13	97%	4222360	0	0	65.019379
spneumoniae.S_pseudosimplitigsAC.k_12.d_2	spneumoniae	pseudosimplitigsAC	12	2	44.70	1.69	41.17	95%	3822440	0	0	44.711122
spneumoniae.S_pseudosimplitigsAC.k_12.d_3	spneumoniae	pseudosimplitigsAC	12	3	50.85	1.88	47.16	96%	3821288	0	0	50.857609
spneumoniae.S_pseudosimplitigsAC.k_12.d_4	spneumoniae	pseudosimplitigsAC	12	4	57.75	1.70	54.45	97%	3852472	0	0	57.763858
spneumoniae.S_pseudosimplitigsAC.k_12.d_5	spneumoniae	pseudosimplitigsAC	12	5	58.67	2.16	54.81	97%	3942108	0	0	58.679801
spneumoniae.S_pseudosimplitigsAC.k_12.d_6	spneumoniae	pseudosimplitigsAC	12	6	58.16	2.05	54.37	97%	3941932	0	0	58.168323
spneumoniae.S_pseudosimplitigsAC.k_12.d_7	spneumoniae	pseudosimplitigsAC	12	7	52.50	1.63	49.46	97%	3942080	0	0	52.513466
spneumoniae.S_pseudosimplitigsAC.k_12.d_8	spneumoniae	pseudosimplitigsAC	12	8	56.43	2.13	52.98	97%	4160712	0	0	56.44325
spneumoniae.S_pseudosimplitigsAC.k_12.d_9	spneumoniae	pseudosimplitigsAC	12	9	53.99	2.02	50.66	97%	4187896	0	0	54.000768
spneumoniae.S_pseudosimplitigs.k_13.d_1	spneumoniae	pseudosimplitigs	13	1	11.06	0.11	9.03	82%	335136	0	0	11.072844
spneumoniae.S_pseudosimplitigs.k_13.d_10	spneumoniae	pseudosimplitigs	13	10	69.68	4.41	60.53	93%	348500	6248	0	69.68703
spneumoniae.S_pseudosimplitigs.k_13.d_11	spneumoniae	pseudosimplitigs	13	11	108.10	0.43	105.40	97%	348368	24	0	108.108845
spneumoniae.S_pseudosimplitigs.k_13.d_12	spneumoniae	pseudosimplitigs	13	12	227.79	3.22	214.20	95%	348344	3056	0	227.796715
spneumoniae.S_pseudosimplitigs.k_13.d_2	spneumoniae	pseudosimplitigs	13	2	11.57	0.10	9.09	79%	335120	0	0	11.581142
spneumoniae.S_pseudosimplitigs.k_13.d_3	spneumoniae	pseudosimplitigs	13	3	14.48	0.14	12.00	83%	334784	0	0	14.488789
spneumoniae.S_pseudosimplitigs.k_13.d_4	spneumoniae	pseudosimplitigs	13	4	15.53	0.19	13.13	85%	335148	0	0	15.542906
spneumoniae.S_pseudosimplitigs.k_13.d_5	spneumoniae	pseudosimplitigs	13	5	16.53	0.44	14.25	88%	335132	0	0	16.541156
spneumoniae.S_pseudosimplitigs.k_13.d_6	spneumoniae	pseudosimplitigs	13	6	21.82	0.32	19.79	92%	348236	0	0	21.827425
spneumoniae.S_pseudosimplitigs.k_13.d_7	spneumoniae	pseudosimplitigs	13	7	24.20	0.14	22.05	91%	348516	0	0	24.212434
spneumoniae.S_pseudosimplitigs.k_13.d_8	spneumoniae	pseudosimplitigs	13	8	26.20	0.12	24.24	93%	348508	0	0	26.210391
spneumoniae.S_pseudosimplitigs.k_13.d_9	spneumoniae	pseudosimplitigs	13	9	47.55	3.81	39.71	91%	348304	5968	0	47.555268
spneumoniae.S_pseudosimplitigsAC.k_13.d_1	spneumoniae	pseudosimplitigsAC	13	1	57.11	2.45	52.71	96%	5065900	0	0	57.120492
spneumoniae.S_pseudosimplitigsAC.k_13.d_10	spneumoniae	pseudosimplitigsAC	13	10	84.45	3.06	79.19	97%	5323096	0	0	84.458379
spneumoniae.S_pseudosimplitigsAC.k_13.d_11	spneumoniae	pseudosimplitigsAC	13	11	85.44	2.65	80.70	97%	5323096	0	0	85.451649
spneumoniae.S_pseudosimplitigsAC.k_13.d_12	spneumoniae	pseudosimplitigsAC	13	12	76.50	2.98	71.70	97%	5323080	0	0	76.51101
spneumoniae.S_pseudosimplitigsAC.k_13.d_2	spneumoniae	pseudosimplitigsAC	13	2	55.05	2.22	50.82	96%	5062588	0	0	55.056826
spneumoniae.S_pseudosimplitigsAC.k_13.d_3	spneumoniae	pseudosimplitigsAC	13	3	54.29	2.28	50.29	96%	5064888	0	0	54.303666
spneumoniae.S_pseudosimplitigsAC.k_13.d_4	spneumoniae	pseudosimplitigsAC	13	4	58.59	2.47	54.42	97%	5069016	0	0	58.601661
spneumoniae.S_pseudosimplitigsAC.k_13.d_5	spneumoniae	pseudosimplitigsAC	13	5	73.73	3.47	68.07	97%	5099428	0	0	73.739881
spneumoniae.S_pseudosimplitigsAC.k_13.d_6	spneumoniae	pseudosimplitigsAC	13	6	72.44	2.81	67.86	97%	5103512	0	0	72.447206
spneumoniae.S_pseudosimplitigsAC.k_13.d_7	spneumoniae	pseudosimplitigsAC	13	7	82.68	2.58	78.06	97%	5205476	0	0	82.685171
spneumoniae.S_pseudosimplitigsAC.k_13.d_8	spneumoniae	pseudosimplitigsAC	13	8	75.57	2.70	70.97	97%	5283940	0	0	75.578246
spneumoniae.S_pseudosimplitigsAC.k_13.d_9	spneumoniae	pseudosimplitigsAC	13	9	78.88	3.05	74.00	97%	5323080	0	0	78.887462
spneumoniae.S_pseudosimplitigs.k_14.d_1	spneumoniae	pseudosimplitigs	14	1	12.36	0.12	10.35	84%	352344	0	0	12.37379
spneumoniae.S_pseudosimplitigs.k_14.d_10	spneumoniae	pseudosimplitigs	14	10	78.66	0.48	75.97	97%	384296	0	0	78.670222
spneumoniae.S_pseudosimplitigs.k_14.d_11	spneumoniae	pseudosimplitigs	14	11	135.76	3.56	129.21	97%	383328	1464	0	135.765108
spneumoniae.S_pseudosimplitigs.k_14.d_12	spneumoniae	pseudosimplitigs	14	12	274.08	2.80	267.35	98%	383384	920	0	274.09283
spneumoniae.S_pseudosimplitigs.k_14.d_2	spneumoniae	pseudosimplitigs	14	2	27.14	7.64	11.71	71%	352340	14552	0	27.190005
spneumoniae.S_pseudosimplitigs.k_14.d_3	spneumoniae	pseudosimplitigs	14	3	12.60	0.16	10.31	83%	352336	0	0	12.612052
spneumoniae.S_pseudosimplitigs.k_14.d_4	spneumoniae	pseudosimplitigs	14	4	22.49	4.94	12.92	79%	350036	11984	0	22.496471
spneumoniae.S_pseudosimplitigs.k_14.d_5	spneumoniae	pseudosimplitigs	14	5	23.47	0.40	20.78	90%	352340	0	0	23.482205
spneumoniae.S_pseudosimplitigs.k_14.d_6	spneumoniae	pseudosimplitigs	14	6	23.77	0.17	21.31	90%	384216	0	0	23.776182
spneumoniae.S_pseudosimplitigs.k_14.d_7	spneumoniae	pseudosimplitigs	14	7	29.65	2.91	23.52	89%	381556	3360	0	29.661462
spneumoniae.S_pseudosimplitigs.k_14.d_8	spneumoniae	pseudosimplitigs	14	8	31.71	0.19	29.54	93%	384244	0	0	31.715347
spneumoniae.S_pseudosimplitigs.k_14.d_9	spneumoniae	pseudosimplitigs	14	9	50.74	3.35	44.27	93%	381664	3424	0	50.753322
spneumoniae.S_pseudosimplitigsAC.k_14.d_1	spneumoniae	pseudosimplitigsAC	14	1	62.78	2.99	57.44	96%	6083008	0	0	62.786291
spneumoniae.S_pseudosimplitigsAC.k_14.d_10	spneumoniae	pseudosimplitigsAC	14	10	93.66	3.25	87.86	97%	6411908	0	0	93.673559
spneumoniae.S_pseudosimplitigsAC.k_14.d_11	spneumoniae	pseudosimplitigsAC	14	11	115.39	8.27	104.84	98%	6410248	144	0	115.398727
spneumoniae.S_pseudosimplitigsAC.k_14.d_12	spneumoniae	pseudosimplitigsAC	14	12	92.48	2.93	87.57	97%	6411908	0	0	92.490279
spneumoniae.S_pseudosimplitigsAC.k_14.d_2	spneumoniae	pseudosimplitigsAC	14	2	68.28	3.08	63.11	96%	6079220	0	0	68.286774
spneumoniae.S_pseudosimplitigsAC.k_14.d_3	spneumoniae	pseudosimplitigsAC	14	3	65.47	3.00	60.13	96%	6080568	0	0	65.482558
spneumoniae.S_pseudosimplitigsAC.k_14.d_4	spneumoniae	pseudosimplitigsAC	14	4	65.07	2.77	60.08	96%	6080716	0	0	65.080888
spneumoniae.S_pseudosimplitigsAC.k_14.d_5	spneumoniae	pseudosimplitigsAC	14	5	70.75	2.77	65.95	97%	6079848	0	0	70.754655
spneumoniae.S_pseudosimplitigsAC.k_14.d_6	spneumoniae	pseudosimplitigsAC	14	6	82.31	2.35	77.81	97%	6087364	0	0	82.321574
spneumoniae.S_pseudosimplitigsAC.k_14.d_7	spneumoniae	pseudosimplitigsAC	14	7	88.89	2.82	83.82	97%	6135708	0	0	88.900118
spneumoniae.S_pseudosimplitigsAC.k_14.d_8	spneumoniae	pseudosimplitigsAC	14	8	88.73	3.09	83.56	97%	6137776	0	0	88.74107
