pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_2	sars-cov-2-pangenome	pseudosimplitigs	3	2	2.28	0.06	0.98	45%	60176	0	0	2.335346
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_3	sars-cov-2-pangenome	pseudosimplitigs	3	3	2.10	0.02	1.02	49%	60176	0	0	2.127223
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_4	sars-cov-2-pangenome	pseudosimplitigs	3	4	2.64	0.03	1.04	40%	60176	0	0	2.666716
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_5	sars-cov-2-pangenome	pseudosimplitigs	3	5	3.08	0.06	1.01	34%	60176	0	0	3.119458
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	3	1	3.14	0.04	0.99	33%	60176	0	0	3.182738
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	3	2	1.88	0.05	1.02	57%	60176	0	0	1.909923
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	3	3	1.51	0.04	1.00	68%	60176	0	0	1.533919
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	3	4	2.86	0.10	1.01	39%	60176	0	0	2.923188
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_3.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	3	5	2.63	0.03	1.03	40%	60176	0	0	2.66367
sars-cov-2-pangenome.S_streaming.k_3.d_na	sars-cov-2-pangenome	streaming	3	na	3.76	0.01	1.44	38%	3324	0	0	3.794836
sars-cov-2-pangenome.S_greedy.k_4.d_na	sars-cov-2-pangenome	greedy	4	na	1.42	0.01	0.55	40%	3336	0	0	1.456125
sars-cov-2-pangenome.S_greedyAC.k_4.d_na	sars-cov-2-pangenome	greedyAC	4	na	2.32	0.01	1.29	56%	60176	0	0	2.356665
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_1	sars-cov-2-pangenome	pseudosimplitigs	4	1	3.82	0.07	1.22	33%	60176	0	0	3.85492
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_2	sars-cov-2-pangenome	pseudosimplitigs	4	2	3.82	0.04	1.24	33%	60176	0	0	3.868339
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_3	sars-cov-2-pangenome	pseudosimplitigs	4	3	3.75	0.05	1.23	34%	60176	0	0	3.795166
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_4	sars-cov-2-pangenome	pseudosimplitigs	4	4	4.28	0.10	1.26	31%	60176	0	0	4.312095
sars-cov-2-pangenome.S_pseudosimplitigs.k_4.d_5	sars-cov-2-pangenome	pseudosimplitigs	4	5	4.07	0.04	1.24	31%	60176	0	0	4.104991
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	4	1	4.24	0.04	1.26	31%	60176	0	0	4.266741
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	4	2	3.68	0.05	1.27	36%	60176	0	0	3.72779
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	4	3	2.28	0.07	1.22	56%	60176	0	0	2.285887
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	4	4	2.98	0.04	1.32	45%	60176	0	0	3.014308
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_4.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	4	5	3.46	0.05	1.26	38%	60176	0	0	3.503638
sars-cov-2-pangenome.S_streaming.k_4.d_na	sars-cov-2-pangenome	streaming	4	na	3.82	0.04	1.40	37%	3332	0	0	3.850349
sars-cov-2-pangenome.S_greedy.k_5.d_na	sars-cov-2-pangenome	greedy	5	na	1.71	0.02	0.81	48%	3440	0	0	1.729125
sars-cov-2-pangenome.S_greedyAC.k_5.d_na	sars-cov-2-pangenome	greedyAC	5	na	3.82	0.06	1.29	35%	60176	0	0	3.887312
sars-cov-2-pangenome.S_pseudosimplitigs.k_5.d_1	sars-cov-2-pangenome	pseudosimplitigs	5	1	3.28	0.06	1.27	40%	60176	0	0	3.330463
sars-cov-2-pangenome.S_pseudosimplitigs.k_5.d_2	sars-cov-2-pangenome	pseudosimplitigs	5	2	2.77	0.05	1.29	48%	60176	0	0	2.786549
sars-cov-2-pangenome.S_pseudosimplitigs.k_5.d_3	sars-cov-2-pangenome	pseudosimplitigs	5	3	3.41	0.04	1.32	40%	60176	0	0	3.43094
sars-cov-2-pangenome.S_pseudosimplitigs.k_5.d_4	sars-cov-2-pangenome	pseudosimplitigs	5	4	2.37	0.05	1.31	57%	60176	0	0	2.428079
sars-cov-2-pangenome.S_pseudosimplitigs.k_5.d_5	sars-cov-2-pangenome	pseudosimplitigs	5	5	4.38	0.06	1.32	31%	60176	0	0	4.411169
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_5.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	5	1	2.24	0.05	1.29	60%	60176	0	0	2.285057
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_5.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	5	2	3.85	0.05	1.29	35%	60176	0	0	3.889539
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_5.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	5	3	3.94	0.07	1.32	35%	60176	0	0	3.980914
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_5.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	5	4	3.60	0.06	1.34	39%	60176	0	0	3.635478
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_5.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	5	5	2.27	0.05	1.29	59%	60176	0	0	2.285251
sars-cov-2-pangenome.S_streaming.k_5.d_na	sars-cov-2-pangenome	streaming	5	na	3.42	0.06	1.76	53%	3344	0	0	3.462699
sars-cov-2-pangenome.S_greedy.k_6.d_na	sars-cov-2-pangenome	greedy	6	na	2.82	0.06	0.92	35%	3724	0	0	2.843887
sars-cov-2-pangenome.S_greedyAC.k_6.d_na	sars-cov-2-pangenome	greedyAC	6	na	2.41	0.05	1.48	63%	60176	0	0	2.445549
sars-cov-2-pangenome.S_pseudosimplitigs.k_6.d_1	sars-cov-2-pangenome	pseudosimplitigs	6	1	3.31	0.07	1.48	47%	60176	0	0	3.342081
sars-cov-2-pangenome.S_pseudosimplitigs.k_6.d_2	sars-cov-2-pangenome	pseudosimplitigs	6	2	4.99	0.08	1.54	32%	60176	0	0	5.034132
sars-cov-2-pangenome.S_pseudosimplitigs.k_6.d_3	sars-cov-2-pangenome	pseudosimplitigs	6	3	4.27	0.06	1.51	36%	60176	0	0	4.298073
sars-cov-2-pangenome.S_pseudosimplitigs.k_6.d_4	sars-cov-2-pangenome	pseudosimplitigs	6	4	3.02	0.07	1.44	50%	60176	0	0	3.043413
sars-cov-2-pangenome.S_pseudosimplitigs.k_6.d_5	sars-cov-2-pangenome	pseudosimplitigs	6	5	3.56	0.05	1.49	43%	60176	0	0	3.587182
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_6.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	6	1	2.78	0.08	1.48	56%	60176	0	0	2.80153
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_6.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	6	2	3.23	0.04	1.46	46%	60176	0	0	3.258957
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_6.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	6	3	3.93	0.06	1.56	41%	60176	0	0	3.945695
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_6.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	6	4	2.69	0.10	1.51	60%	60176	0	0	2.712265
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_6.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	6	5	2.39	0.07	1.45	63%	60176	0	0	2.427161
sars-cov-2-pangenome.S_streaming.k_6.d_na	sars-cov-2-pangenome	streaming	6	na	2.84	0.02	1.90	67%	3404	0	0	2.853137
sars-cov-2-pangenome.S_greedy.k_7.d_na	sars-cov-2-pangenome	greedy	7	na	2.14	0.04	1.12	54%	4984	0	0	2.165895
sars-cov-2-pangenome.S_greedyAC.k_7.d_na	sars-cov-2-pangenome	greedyAC	7	na	4.91	0.05	2.46	51%	60728	0	0	4.956044
sars-cov-2-pangenome.S_pseudosimplitigs.k_7.d_1	sars-cov-2-pangenome	pseudosimplitigs	7	1	3.26	0.05	2.04	64%	60176	0	0	3.276059
sars-cov-2-pangenome.S_pseudosimplitigs.k_7.d_2	sars-cov-2-pangenome	pseudosimplitigs	7	2	5.11	0.04	2.41	48%	60176	0	0	5.141301
sars-cov-2-pangenome.S_pseudosimplitigs.k_7.d_3	sars-cov-2-pangenome	pseudosimplitigs	7	3	6.64	0.06	2.45	37%	60176	0	0	6.688671
sars-cov-2-pangenome.S_pseudosimplitigs.k_7.d_4	sars-cov-2-pangenome	pseudosimplitigs	7	4	5.10	0.07	2.30	46%	60176	0	0	5.122468
sars-cov-2-pangenome.S_pseudosimplitigs.k_7.d_5	sars-cov-2-pangenome	pseudosimplitigs	7	5	6.90	0.03	2.66	39%	60176	0	0	6.923263
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_7.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	7	1	7.68	0.06	2.67	35%	65476	0	0	7.712605
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_7.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	7	2	2.78	0.09	2.03	76%	65496	0	0	2.794301
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_7.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	7	3	7.41	0.11	2.84	39%	65476	0	0	7.455416
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_7.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	7	4	3.27	0.14	2.17	70%	65700	0	0	3.288259
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_7.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	7	5	3.14	0.10	2.06	68%	65696	0	0	3.154161
sars-cov-2-pangenome.S_streaming.k_7.d_na	sars-cov-2-pangenome	streaming	7	na	6.38	0.05	2.59	41%	3652	0	0	6.419453
sars-cov-2-pangenome.S_greedy.k_8.d_na	sars-cov-2-pangenome	greedy	8	na	7.39	0.03	3.58	49%	12204	0	0	7.412823
sars-cov-2-pangenome.S_greedyAC.k_8.d_na	sars-cov-2-pangenome	greedyAC	8	na	10.60	0.11	9.08	86%	92736	0	0	10.636632
sars-cov-2-pangenome.S_pseudosimplitigs.k_8.d_1	sars-cov-2-pangenome	pseudosimplitigs	8	1	22.05	0.04	9.40	42%	60176	0	0	22.093313
sars-cov-2-pangenome.S_pseudosimplitigs.k_8.d_2	sars-cov-2-pangenome	pseudosimplitigs	8	2	19.79	0.06	9.31	47%	60176	0	0	19.827212
sars-cov-2-pangenome.S_pseudosimplitigs.k_8.d_3	sars-cov-2-pangenome	pseudosimplitigs	8	3	10.72	0.14	7.90	74%	60176	0	0	10.734175
sars-cov-2-pangenome.S_pseudosimplitigs.k_8.d_4	sars-cov-2-pangenome	pseudosimplitigs	8	4	16.75	0.17	10.86	65%	60176	0	0	16.779773
sars-cov-2-pangenome.S_pseudosimplitigs.k_8.d_5	sars-cov-2-pangenome	pseudosimplitigs	8	5	19.25	0.11	11.42	59%	60176	0	0	19.280917
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_8.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	8	1	12.96	0.11	9.92	77%	112684	0	0	12.995882
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_8.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	8	2	15.17	0.26	12.62	84%	112844	0	0	15.177185
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_8.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	8	3	23.18	0.16	12.69	55%	112692	0	0	23.205354
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_8.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	8	4	15.91	0.10	10.98	69%	112804	0	0	15.956527
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_8.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	8	5	20.93	0.12	11.05	53%	112692	0	0	20.953642
sars-cov-2-pangenome.S_streaming.k_8.d_na	sars-cov-2-pangenome	streaming	8	na	8.50	0.11	4.59	55%	4528	0	0	8.529499
sars-cov-2-pangenome.S_greedy.k_9.d_na	sars-cov-2-pangenome	greedy	9	na	26.46	0.48	11.78	46%	31604	0	0	26.477433
sars-cov-2-pangenome.S_greedyAC.k_9.d_na	sars-cov-2-pangenome	greedyAC	9	na	19.98	0.27	17.24	87%	201376	0	0	19.999207
sars-cov-2-pangenome.S_pseudosimplitigs.k_9.d_1	sars-cov-2-pangenome	pseudosimplitigs	9	1	32.81	0.09	13.87	42%	80756	0	0	32.839447
sars-cov-2-pangenome.S_pseudosimplitigs.k_9.d_2	sars-cov-2-pangenome	pseudosimplitigs	9	2	38.77	0.12	15.50	40%	80992	0	0	38.79888
sars-cov-2-pangenome.S_pseudosimplitigs.k_9.d_3	sars-cov-2-pangenome	pseudosimplitigs	9	3	16.72	0.10	13.13	79%	80860	0	0	16.748645
sars-cov-2-pangenome.S_pseudosimplitigs.k_9.d_4	sars-cov-2-pangenome	pseudosimplitigs	9	4	22.78	0.15	15.57	69%	80992	0	0	22.804168
sars-cov-2-pangenome.S_pseudosimplitigs.k_9.d_5	sars-cov-2-pangenome	pseudosimplitigs	9	5	26.26	0.08	13.34	51%	80756	0	0	26.289516
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_9.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	9	1	28.65	0.32	19.70	69%	295996	0	0	28.687024
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_9.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	9	2	31.87	0.23	18.76	59%	296156	0	0	31.881298
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_9.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	9	3	45.21	0.30	19.15	43%	296060	0	0	45.245923
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_9.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	9	4	20.34	0.26	17.45	87%	296376	0	0	20.366726
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_9.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	9	5	27.42	0.33	18.37	68%	296268	0	0	27.45841
sars-cov-2-pangenome.S_streaming.k_9.d_na	sars-cov-2-pangenome	streaming	9	na	21.46	0.16	15.45	72%	8600	0	0	21.491638
sars-cov-2-pangenome.S_greedy.k_10.d_na	sars-cov-2-pangenome	greedy	10	na	39.65	0.20	18.32	46%	107680	0	0	39.662259
sars-cov-2-pangenome.S_greedyAC.k_10.d_na	sars-cov-2-pangenome	greedyAC	10	na	72.39	0.67	31.07	43%	638884	0	0	72.440564
sars-cov-2-pangenome.S_pseudosimplitigs.k_10.d_1	sars-cov-2-pangenome	pseudosimplitigs	10	1	44.97	0.16	19.05	42%	154948	0	0	44.995006
sars-cov-2-pangenome.S_pseudosimplitigs.k_10.d_2	sars-cov-2-pangenome	pseudosimplitigs	10	2	20.87	0.14	15.91	76%	155136	0	0	20.898759
sars-cov-2-pangenome.S_pseudosimplitigs.k_10.d_3	sars-cov-2-pangenome	pseudosimplitigs	10	3	53.11	0.21	21.70	41%	154948	0	0	53.143499
sars-cov-2-pangenome.S_pseudosimplitigs.k_10.d_4	sars-cov-2-pangenome	pseudosimplitigs	10	4	37.61	0.12	18.39	49%	154980	0	0	37.63467
sars-cov-2-pangenome.S_pseudosimplitigs.k_10.d_5	sars-cov-2-pangenome	pseudosimplitigs	10	5	48.10	0.14	20.29	42%	154948	0	0	48.13721
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_10.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	10	1	76.09	0.92	35.06	47%	1048500	0	0	76.112225
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_10.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	10	2	47.45	0.81	30.44	65%	1048312	0	0	47.475343
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_10.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	10	3	63.82	1.09	35.95	58%	1055568	0	0	63.852559
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_10.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	10	4	52.33	0.87	33.11	64%	1055396	0	0	52.344542
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_10.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	10	5	64.50	0.94	36.20	57%	1061144	0	0	64.535632
sars-cov-2-pangenome.S_streaming.k_10.d_na	sars-cov-2-pangenome	streaming	10	na	43.58	0.20	20.40	47%	23644	0	0	43.608035
sars-cov-2-pangenome.S_greedy.k_11.d_na	sars-cov-2-pangenome	greedy	11	na	62.94	0.30	26.64	42%	330404	0	0	62.972597
sars-cov-2-pangenome.S_greedyAC.k_11.d_na	sars-cov-2-pangenome	greedyAC	11	na	121.48	1.73	65.56	55%	1785992	0	0	121.513696
sars-cov-2-pangenome.S_pseudosimplitigs.k_11.d_1	sars-cov-2-pangenome	pseudosimplitigs	11	1	64.22	0.50	29.50	46%	326272	0	0	64.250832
sars-cov-2-pangenome.S_pseudosimplitigs.k_11.d_2	sars-cov-2-pangenome	pseudosimplitigs	11	2	78.01	0.41	29.28	38%	323820	0	0	78.019047
sars-cov-2-pangenome.S_pseudosimplitigs.k_11.d_3	sars-cov-2-pangenome	pseudosimplitigs	11	3	74.23	0.25	28.36	38%	323988	0	0	74.26675
sars-cov-2-pangenome.S_pseudosimplitigs.k_11.d_4	sars-cov-2-pangenome	pseudosimplitigs	11	4	67.24	0.29	28.46	42%	335064	0	0	67.265995
sars-cov-2-pangenome.S_pseudosimplitigs.k_11.d_5	sars-cov-2-pangenome	pseudosimplitigs	11	5	93.13	0.33	40.05	43%	340868	0	0	93.172584
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_11.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	11	1	153.13	2.61	85.41	57%	3021688	0	0	153.165922
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_11.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	11	2	202.27	3.59	91.94	47%	3018944	0	0	202.291619
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_11.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	11	3	154.23	3.31	86.39	58%	3029584	0	0	154.258513
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_11.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	11	4	170.57	3.33	89.39	54%	3074444	0	0	170.603252
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_11.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	11	5	194.08	3.05	91.74	48%	3074384	0	0	194.086833
sars-cov-2-pangenome.S_streaming.k_11.d_na	sars-cov-2-pangenome	streaming	11	na	32.20	0.15	20.90	65%	56668	0	0	32.230272
sars-cov-2-pangenome.S_greedy.k_12.d_na	sars-cov-2-pangenome	greedy	12	na	103.26	0.90	43.50	43%	675728	0	0	103.285721
sars-cov-2-pangenome.S_greedyAC.k_12.d_na	sars-cov-2-pangenome	greedyAC	12	na	274.02	2.59	113.70	42%	3606720	0	0	274.057102
sars-cov-2-pangenome.S_pseudosimplitigs.k_12.d_1	sars-cov-2-pangenome	pseudosimplitigs	12	1	54.06	0.47	34.62	64%	549544	0	0	54.079368
sars-cov-2-pangenome.S_pseudosimplitigs.k_12.d_2	sars-cov-2-pangenome	pseudosimplitigs	12	2	86.44	0.87	39.56	46%	540824	0	0	86.473722
sars-cov-2-pangenome.S_pseudosimplitigs.k_12.d_3	sars-cov-2-pangenome	pseudosimplitigs	12	3	100.39	0.62	43.15	43%	536940	0	0	100.404605
sars-cov-2-pangenome.S_pseudosimplitigs.k_12.d_4	sars-cov-2-pangenome	pseudosimplitigs	12	4	87.46	0.38	43.67	50%	538068	0	0	87.487381
sars-cov-2-pangenome.S_pseudosimplitigs.k_12.d_5	sars-cov-2-pangenome	pseudosimplitigs	12	5	104.73	0.46	53.78	51%	582112	0	0	104.764113
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_12.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	12	1	265.89	7.58	163.17	64%	6120356	0	0	265.940416
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_12.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	12	2	228.38	6.73	163.02	74%	6115696	0	0	228.395494
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_12.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	12	3	387.26	6.94	178.43	47%	6117188	0	0	387.292309
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_12.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	12	4	271.37	7.20	172.73	66%	6141512	0	0	271.396889
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_12.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	12	5	261.76	6.25	174.96	69%	6161308	0	0	261.778614
sars-cov-2-pangenome.S_streaming.k_12.d_na	sars-cov-2-pangenome	streaming	12	na	53.59	0.28	22.34	42%	105812	0	0	53.617948
sars-cov-2-pangenome.S_greedy.k_13.d_na	sars-cov-2-pangenome	greedy	13	na	129.09	0.79	54.37	42%	934104	0	0	129.133961
sars-cov-2-pangenome.S_greedyAC.k_13.d_na	sars-cov-2-pangenome	greedyAC	13	na	387.24	5.89	186.28	49%	5455896	0	0	387.262906
sars-cov-2-pangenome.S_pseudosimplitigs.k_13.d_1	sars-cov-2-pangenome	pseudosimplitigs	13	1	70.47	0.86	44.43	64%	720208	0	0	70.493315
sars-cov-2-pangenome.S_pseudosimplitigs.k_13.d_2	sars-cov-2-pangenome	pseudosimplitigs	13	2	128.00	0.51	51.57	40%	720208	0	0	128.049361
sars-cov-2-pangenome.S_pseudosimplitigs.k_13.d_3	sars-cov-2-pangenome	pseudosimplitigs	13	3	139.77	0.79	56.95	41%	720208	0	0	139.808521
sars-cov-2-pangenome.S_pseudosimplitigs.k_13.d_4	sars-cov-2-pangenome	pseudosimplitigs	13	4	136.48	0.62	57.61	42%	720208	0	0	136.508259
sars-cov-2-pangenome.S_pseudosimplitigs.k_13.d_5	sars-cov-2-pangenome	pseudosimplitigs	13	5	146.45	0.66	59.53	41%	720208	0	0	146.470476
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_13.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	13	1	553.79	8.62	242.25	45%	9294056	0	0	553.82221
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_13.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	13	2	427.32	9.64	231.97	56%	9290160	0	0	427.363045
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_13.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	13	3	483.94	10.96	241.55	52%	9292780	0	0	483.971582
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_13.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	13	4	376.69	11.74	248.71	69%	9291140	0	0	376.720759
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_13.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	13	5	564.21	10.74	264.37	48%	9312136	0	0	564.248425
sars-cov-2-pangenome.S_streaming.k_13.d_na	sars-cov-2-pangenome	streaming	13	na	45.35	0.39	24.59	55%	164508	0	0	45.369828
sars-cov-2-pangenome.S_greedy.k_14.d_na	sars-cov-2-pangenome	greedy	14	na	146.46	1.26	60.06	41%	1161364	0	0	146.486279
sars-cov-2-pangenome.S_greedyAC.k_14.d_na	sars-cov-2-pangenome	greedyAC	14	na	469.65	10.16	228.56	50%	7383004	0	0	469.690503
sars-cov-2-pangenome.S_pseudosimplitigs.k_14.d_1	sars-cov-2-pangenome	pseudosimplitigs	14	1	146.55	1.09	60.06	41%	829700	0	0	146.570759
sars-cov-2-pangenome.S_pseudosimplitigs.k_14.d_2	sars-cov-2-pangenome	pseudosimplitigs	14	2	130.10	0.58	55.88	43%	829700	0	0	130.115099
