pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_streaming.k_3.d_na.M_default	spneumoniae	streaming	3	na	default	0.02	0.00	0.00	4%	1248	0	0	0.080778
spneumoniae.S_streaming.k_3.d_na.M_ones	spneumoniae	streaming	3	na	ones	0.41	0.05	0.07	30%	19672	0	0	0.444897
spneumoniae.S_streaming.k_3.d_na.M_runs	spneumoniae	streaming	3	na	runs	0.62	0.05	0.09	24%	23476	0	0	0.667735
spneumoniae.S_streaming.k_3.d_na.M_zeros	spneumoniae	streaming	3	na	zeros	0.52	0.04	0.07	21%	20200	0	0	0.565987
spneumoniae.S_greedy.k_4.d_na.M_default	spneumoniae	greedy	4	na	default	0.01	0.00	0.00	7%	1248	0	0	0.07211
spneumoniae.S_greedy.k_4.d_na.M_ones	spneumoniae	greedy	4	na	ones	0.45	0.03	0.06	22%	19736	0	0	0.52512
spneumoniae.S_greedy.k_4.d_na.M_runs	spneumoniae	greedy	4	na	runs	0.66	0.05	0.08	21%	23008	0	0	0.716944
spneumoniae.S_greedy.k_4.d_na.M_zeros	spneumoniae	greedy	4	na	zeros	0.46	0.03	0.06	22%	20156	0	0	0.497994
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_default	spneumoniae	pseudosimplitigs	4	1	default	0.04	0.00	0.00	2%	1248	0	0	0.107859
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_ones	spneumoniae	pseudosimplitigs	4	1	ones	0.54	0.04	0.07	21%	19992	0	0	0.603011
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_runs	spneumoniae	pseudosimplitigs	4	1	runs	0.44	0.04	0.08	29%	23752	0	0	0.482899
spneumoniae.S_pseudosimplitigs.k_4.d_1.M_zeros	spneumoniae	pseudosimplitigs	4	1	zeros	0.41	0.04	0.07	28%	20320	0	0	0.473128
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_default	spneumoniae	pseudosimplitigs	4	2	default	0.01	0.00	0.00	0%	1248	0	0	0.087423
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_ones	spneumoniae	pseudosimplitigs	4	2	ones	0.38	0.04	0.06	29%	19756	0	0	0.436155
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_runs	spneumoniae	pseudosimplitigs	4	2	runs	0.56	0.05	0.09	25%	23696	0	0	0.595954
spneumoniae.S_pseudosimplitigs.k_4.d_2.M_zeros	spneumoniae	pseudosimplitigs	4	2	zeros	0.56	0.03	0.06	18%	19932	0	0	0.59826
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_default	spneumoniae	pseudosimplitigs	4	3	default	0.02	0.00	0.00	0%	1248	0	0	0.088525
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_ones	spneumoniae	pseudosimplitigs	4	3	ones	0.49	0.04	0.06	22%	19688	0	0	0.546998
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_runs	spneumoniae	pseudosimplitigs	4	3	runs	0.65	0.05	0.09	21%	23308	0	0	0.741793
spneumoniae.S_pseudosimplitigs.k_4.d_3.M_zeros	spneumoniae	pseudosimplitigs	4	3	zeros	0.44	0.04	0.07	25%	19884	0	0	0.540238
spneumoniae.S_pseudosimplitigs.k_4.d_4.M_default	spneumoniae	pseudosimplitigs	4	4	default	0.04	0.00	0.00	2%	1248	0	0	0.100804
spneumoniae.S_pseudosimplitigs.k_4.d_4.M_ones	spneumoniae	pseudosimplitigs	4	4	ones	0.42	0.04	0.06	27%	20052	0	0	0.452775
spneumoniae.S_pseudosimplitigs.k_4.d_4.M_runs	spneumoniae	pseudosimplitigs	4	4	runs	0.58	0.05	0.09	25%	23320	0	0	0.613428
spneumoniae.S_pseudosimplitigs.k_4.d_4.M_zeros	spneumoniae	pseudosimplitigs	4	4	zeros	0.47	0.04	0.06	24%	20120	0	0	0.577635
spneumoniae.S_pseudosimplitigs.k_4.d_5.M_default	spneumoniae	pseudosimplitigs	4	5	default	0.00	0.00	0.00	12%	1200	0	0	0.048523
spneumoniae.S_pseudosimplitigs.k_4.d_5.M_ones	spneumoniae	pseudosimplitigs	4	5	ones	0.50	0.04	0.06	22%	19852	0	0	0.600688
spneumoniae.S_pseudosimplitigs.k_4.d_5.M_runs	spneumoniae	pseudosimplitigs	4	5	runs	0.91	0.05	0.09	16%	23100	0	0	0.963088
spneumoniae.S_pseudosimplitigs.k_4.d_5.M_zeros	spneumoniae	pseudosimplitigs	4	5	zeros	0.55	0.05	0.08	23%	19632	0	0	0.607048
spneumoniae.S_streaming.k_4.d_na.M_default	spneumoniae	streaming	4	na	default	0.01	0.00	0.00	7%	1296	0	0	0.066383
spneumoniae.S_streaming.k_4.d_na.M_ones	spneumoniae	streaming	4	na	ones	0.41	0.04	0.07	26%	20080	0	0	0.467996
spneumoniae.S_streaming.k_4.d_na.M_runs	spneumoniae	streaming	4	na	runs	0.60	0.05	0.09	23%	23628	0	0	0.65925
spneumoniae.S_streaming.k_4.d_na.M_zeros	spneumoniae	streaming	4	na	zeros	0.39	0.04	0.07	28%	20160	0	0	0.44875
spneumoniae.S_greedy.k_5.d_na.M_default	spneumoniae	greedy	5	na	default	0.04	0.00	0.00	2%	1216	0	0	0.081749
spneumoniae.S_greedy.k_5.d_na.M_ones	spneumoniae	greedy	5	na	ones	0.36	0.04	0.06	30%	19696	0	0	0.404792
spneumoniae.S_greedy.k_5.d_na.M_runs	spneumoniae	greedy	5	na	runs	0.49	0.05	0.08	28%	23848	0	0	0.542976
spneumoniae.S_greedy.k_5.d_na.M_zeros	spneumoniae	greedy	5	na	zeros	0.40	0.04	0.06	26%	19868	0	0	0.463889
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_default	spneumoniae	pseudosimplitigs	5	1	default	0.00	0.00	0.00	16%	1216	0	0	0.047402
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_ones	spneumoniae	pseudosimplitigs	5	1	ones	0.41	0.03	0.06	24%	19844	0	0	0.453231
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_runs	spneumoniae	pseudosimplitigs	5	1	runs	0.57	0.04	0.08	22%	23820	0	0	0.612821
spneumoniae.S_pseudosimplitigs.k_5.d_1.M_zeros	spneumoniae	pseudosimplitigs	5	1	zeros	0.44	0.03	0.06	23%	19540	0	0	0.475458
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_default	spneumoniae	pseudosimplitigs	5	2	default	0.01	0.00	0.00	5%	1280	0	0	0.073209
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_ones	spneumoniae	pseudosimplitigs	5	2	ones	0.38	0.03	0.06	27%	20028	0	0	0.409203
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_runs	spneumoniae	pseudosimplitigs	5	2	runs	0.49	0.05	0.08	28%	23244	0	0	0.530333
spneumoniae.S_pseudosimplitigs.k_5.d_2.M_zeros	spneumoniae	pseudosimplitigs	5	2	zeros	0.39	0.04	0.06	26%	20204	0	0	0.430388
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_default	spneumoniae	pseudosimplitigs	5	3	default	0.03	0.00	0.00	3%	1280	0	0	0.090292
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_ones	spneumoniae	pseudosimplitigs	5	3	ones	0.78	0.04	0.07	15%	20220	0	0	0.822476
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_runs	spneumoniae	pseudosimplitigs	5	3	runs	0.60	0.05	0.09	23%	23816	0	0	0.628751
spneumoniae.S_pseudosimplitigs.k_5.d_3.M_zeros	spneumoniae	pseudosimplitigs	5	3	zeros	0.45	0.04	0.07	24%	19856	0	0	0.491846
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_default	spneumoniae	pseudosimplitigs	5	4	default	0.05	0.00	0.00	1%	1280	0	0	0.128218
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_ones	spneumoniae	pseudosimplitigs	5	4	ones	1.27	0.03	0.06	8%	19720	0	0	1.374288
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_runs	spneumoniae	pseudosimplitigs	5	4	runs	0.88	0.05	0.09	16%	23488	0	0	0.917521
spneumoniae.S_pseudosimplitigs.k_5.d_4.M_zeros	spneumoniae	pseudosimplitigs	5	4	zeros	0.56	0.04	0.07	19%	20048	0	0	0.597036
spneumoniae.S_pseudosimplitigs.k_5.d_5.M_default	spneumoniae	pseudosimplitigs	5	5	default	0.04	0.00	0.00	2%	1280	0	0	0.151154
spneumoniae.S_pseudosimplitigs.k_5.d_5.M_ones	spneumoniae	pseudosimplitigs	5	5	ones	0.61	0.04	0.06	18%	19916	0	0	0.672969
spneumoniae.S_pseudosimplitigs.k_5.d_5.M_runs	spneumoniae	pseudosimplitigs	5	5	runs	0.75	0.05	0.08	18%	23804	0	0	0.813545
spneumoniae.S_pseudosimplitigs.k_5.d_5.M_zeros	spneumoniae	pseudosimplitigs	5	5	zeros	0.58	0.04	0.06	18%	20164	0	0	0.615444
spneumoniae.S_streaming.k_5.d_na.M_default	spneumoniae	streaming	5	na	default	0.01	0.00	0.00	5%	1280	0	0	0.131133
spneumoniae.S_streaming.k_5.d_na.M_ones	spneumoniae	streaming	5	na	ones	0.53	0.04	0.07	23%	20156	0	0	0.591527
spneumoniae.S_streaming.k_5.d_na.M_runs	spneumoniae	streaming	5	na	runs	0.53	0.05	0.09	27%	23448	0	0	0.596788
spneumoniae.S_streaming.k_5.d_na.M_zeros	spneumoniae	streaming	5	na	zeros	0.33	0.04	0.07	35%	20236	0	0	0.377099
spneumoniae.S_greedy.k_6.d_na.M_default	spneumoniae	greedy	6	na	default	0.04	0.00	0.00	2%	1216	0	0	0.086906
spneumoniae.S_greedy.k_6.d_na.M_ones	spneumoniae	greedy	6	na	ones	0.54	0.04	0.07	22%	20360	0	0	0.580863
spneumoniae.S_greedy.k_6.d_na.M_runs	spneumoniae	greedy	6	na	runs	0.73	0.05	0.10	21%	23732	0	0	0.793939
spneumoniae.S_greedy.k_6.d_na.M_zeros	spneumoniae	greedy	6	na	zeros	0.41	0.04	0.07	28%	20092	0	0	0.451776
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_default	spneumoniae	pseudosimplitigs	6	1	default	0.04	0.00	0.00	2%	1280	0	0	0.080226
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_ones	spneumoniae	pseudosimplitigs	6	1	ones	0.50	0.04	0.08	26%	20308	0	0	0.545669
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_runs	spneumoniae	pseudosimplitigs	6	1	runs	0.62	0.05	0.11	26%	23860	0	0	0.668126
spneumoniae.S_pseudosimplitigs.k_6.d_1.M_zeros	spneumoniae	pseudosimplitigs	6	1	zeros	0.45	0.05	0.08	29%	20288	0	0	0.490819
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_default	spneumoniae	pseudosimplitigs	6	2	default	0.03	0.00	0.00	2%	1216	0	0	0.094604
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_ones	spneumoniae	pseudosimplitigs	6	2	ones	0.46	0.04	0.07	26%	20000	0	0	0.518787
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_runs	spneumoniae	pseudosimplitigs	6	2	runs	0.61	0.05	0.10	25%	24092	0	0	0.683185
spneumoniae.S_pseudosimplitigs.k_6.d_2.M_zeros	spneumoniae	pseudosimplitigs	6	2	zeros	0.62	0.04	0.08	21%	20036	0	0	0.693051
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_default	spneumoniae	pseudosimplitigs	6	3	default	0.03	0.00	0.00	3%	1280	0	0	0.161184
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_ones	spneumoniae	pseudosimplitigs	6	3	ones	0.42	0.05	0.07	30%	20504	0	0	0.44653
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_runs	spneumoniae	pseudosimplitigs	6	3	runs	0.63	0.05	0.11	26%	23960	0	0	0.666127
spneumoniae.S_pseudosimplitigs.k_6.d_3.M_zeros	spneumoniae	pseudosimplitigs	6	3	zeros	0.36	0.04	0.07	33%	20068	0	0	0.388093
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_default	spneumoniae	pseudosimplitigs	6	4	default	0.01	0.00	0.00	5%	1280	0	0	0.099299
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_ones	spneumoniae	pseudosimplitigs	6	4	ones	0.38	0.03	0.06	27%	20092	0	0	0.413739
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_runs	spneumoniae	pseudosimplitigs	6	4	runs	0.56	0.04	0.09	24%	23896	0	0	0.596261
spneumoniae.S_pseudosimplitigs.k_6.d_4.M_zeros	spneumoniae	pseudosimplitigs	6	4	zeros	0.41	0.03	0.06	25%	19904	0	0	0.438053
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_default	spneumoniae	pseudosimplitigs	6	5	default	0.01	0.00	0.00	13%	1424	0	0	0.095256
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_ones	spneumoniae	pseudosimplitigs	6	5	ones	0.69	0.05	0.08	20%	20644	0	0	0.751616
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_runs	spneumoniae	pseudosimplitigs	6	5	runs	0.78	0.06	0.12	24%	23584	0	0	0.831874
spneumoniae.S_pseudosimplitigs.k_6.d_5.M_zeros	spneumoniae	pseudosimplitigs	6	5	zeros	0.68	0.04	0.08	19%	20108	0	0	0.720511
spneumoniae.S_streaming.k_6.d_na.M_default	spneumoniae	streaming	6	na	default	0.02	0.00	0.00	4%	1232	0	0	0.078129
spneumoniae.S_streaming.k_6.d_na.M_ones	spneumoniae	streaming	6	na	ones	0.50	0.03	0.07	22%	20212	0	0	0.544409
spneumoniae.S_streaming.k_6.d_na.M_runs	spneumoniae	streaming	6	na	runs	0.71	0.04	0.10	21%	23644	0	0	0.749991
spneumoniae.S_streaming.k_6.d_na.M_zeros	spneumoniae	streaming	6	na	zeros	0.51	0.04	0.07	22%	20592	0	0	0.559348
spneumoniae.S_greedy.k_7.d_na.M_default	spneumoniae	greedy	7	na	default	0.08	0.00	0.00	2%	1312	0	0	2.841141
spneumoniae.S_greedy.k_7.d_na.M_ones	spneumoniae	greedy	7	na	ones	0.39	0.04	0.09	36%	21596	0	0	0.460579
spneumoniae.S_greedy.k_7.d_na.M_runs	spneumoniae	greedy	7	na	runs	0.41	0.05	0.13	44%	24524	0	0	0.472416
spneumoniae.S_greedy.k_7.d_na.M_zeros	spneumoniae	greedy	7	na	zeros	2.01	0.06	0.11	9%	20680	0	0	2.105943
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_default	spneumoniae	pseudosimplitigs	7	1	default	0.02	0.00	0.00	5%	1296	0	0	0.067218
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_ones	spneumoniae	pseudosimplitigs	7	1	ones	0.42	0.04	0.08	30%	21732	0	0	0.474448
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_runs	spneumoniae	pseudosimplitigs	7	1	runs	0.64	0.05	0.12	26%	24484	0	0	0.685734
spneumoniae.S_pseudosimplitigs.k_7.d_1.M_zeros	spneumoniae	pseudosimplitigs	7	1	zeros	0.40	0.04	0.09	33%	21236	0	0	0.432877
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_default	spneumoniae	pseudosimplitigs	7	2	default	0.03	0.00	0.00	2%	1296	0	0	0.083721
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_ones	spneumoniae	pseudosimplitigs	7	2	ones	0.35	0.05	0.09	42%	21584	0	0	0.386459
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_runs	spneumoniae	pseudosimplitigs	7	2	runs	0.44	0.06	0.13	44%	24128	0	0	0.489596
spneumoniae.S_pseudosimplitigs.k_7.d_2.M_zeros	spneumoniae	pseudosimplitigs	7	2	zeros	0.34	0.04	0.09	41%	21076	0	0	0.385096
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_default	spneumoniae	pseudosimplitigs	7	3	default	0.01	0.00	0.00	8%	1312	0	0	0.062944
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_ones	spneumoniae	pseudosimplitigs	7	3	ones	0.38	0.04	0.08	34%	21364	0	0	0.413277
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_runs	spneumoniae	pseudosimplitigs	7	3	runs	0.51	0.05	0.12	34%	24484	0	0	0.550797
spneumoniae.S_pseudosimplitigs.k_7.d_3.M_zeros	spneumoniae	pseudosimplitigs	7	3	zeros	0.40	0.04	0.08	33%	21128	0	0	0.450263
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_default	spneumoniae	pseudosimplitigs	7	4	default	0.11	0.00	0.00	0%	1232	0	0	0.16612
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_ones	spneumoniae	pseudosimplitigs	7	4	ones	0.53	0.04	0.08	23%	21308	0	0	0.594292
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_runs	spneumoniae	pseudosimplitigs	7	4	runs	0.67	0.04	0.11	24%	24404	0	0	0.708635
spneumoniae.S_pseudosimplitigs.k_7.d_4.M_zeros	spneumoniae	pseudosimplitigs	7	4	zeros	0.53	0.04	0.08	24%	20808	0	0	0.576338
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_default	spneumoniae	pseudosimplitigs	7	5	default	0.01	0.00	0.00	7%	1296	0	0	0.06397
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_ones	spneumoniae	pseudosimplitigs	7	5	ones	0.49	0.04	0.09	27%	21616	0	0	0.534756
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_runs	spneumoniae	pseudosimplitigs	7	5	runs	0.63	0.05	0.12	27%	24316	0	0	0.660866
spneumoniae.S_pseudosimplitigs.k_7.d_5.M_zeros	spneumoniae	pseudosimplitigs	7	5	zeros	0.51	0.04	0.08	25%	20952	0	0	0.613036
spneumoniae.S_streaming.k_7.d_na.M_default	spneumoniae	streaming	7	na	default	0.06	0.00	0.00	3%	1376	0	0	0.268743
spneumoniae.S_streaming.k_7.d_na.M_ones	spneumoniae	streaming	7	na	ones	0.45	0.06	0.14	46%	21832	0	0	0.500233
spneumoniae.S_streaming.k_7.d_na.M_runs	spneumoniae	streaming	7	na	runs	0.45	0.06	0.16	51%	24364	0	0	0.478168
spneumoniae.S_streaming.k_7.d_na.M_zeros	spneumoniae	streaming	7	na	zeros	0.90	0.06	0.13	21%	22232	0	0	0.92718
spneumoniae.S_greedy.k_8.d_na.M_default	spneumoniae	greedy	8	na	default	0.01	0.00	0.00	10%	1376	0	0	0.092065
spneumoniae.S_greedy.k_8.d_na.M_ones	spneumoniae	greedy	8	na	ones	0.44	0.04	0.15	45%	26232	0	0	0.492284
spneumoniae.S_greedy.k_8.d_na.M_runs	spneumoniae	greedy	8	na	runs	0.54	0.05	0.22	51%	26808	0	0	0.574969
spneumoniae.S_greedy.k_8.d_na.M_zeros	spneumoniae	greedy	8	na	zeros	0.45	0.05	0.15	44%	23936	0	0	0.490544
spneumoniae.S_pseudosimplitigs.k_8.d_1.M_default	spneumoniae	pseudosimplitigs	8	1	default	0.01	0.00	0.00	6%	1424	0	0	0.066719
spneumoniae.S_pseudosimplitigs.k_8.d_1.M_ones	spneumoniae	pseudosimplitigs	8	1	ones	0.60	0.04	0.15	32%	26548	0	0	0.660589
